Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
04/22/2020,ECOZ,AAPL,037833100,APPLE INC,224.00,268.370000,60114.88,2.51%,2396700.00,100000,4,
04/22/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,292.00,80.360000,23465.12,0.98%,2396700.00,100000,4,
04/22/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,360.00,85.570000,30805.20,1.29%,2396700.00,100000,4,
04/22/2020,ECOZ,ABT,002824100,ABBOTT LABS,637.00,94.050000,59909.85,2.50%,2396700.00,100000,4,
04/22/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,100.00,166.240000,16624.00,0.69%,2396700.00,100000,4,
04/22/2020,ECOZ,ADBE,00724F101,ADOBE INC,123.00,328.990000,40465.77,1.69%,2396700.00,100000,4,
04/22/2020,ECOZ,AFL,001055102,AFLAC INC,420.00,34.590000,14527.80,0.61%,2396700.00,100000,4,
04/22/2020,ECOZ,ALL,020002101,ALLSTATE CORP,284.00,100.090000,28425.56,1.19%,2396700.00,100000,4,
04/22/2020,ECOZ,AMGN,031162100,AMGEN INC,92.00,230.750000,21229.00,0.89%,2396700.00,100000,4,
04/22/2020,ECOZ,AMZN,023135106,AMAZON COM INC,32.00,2328.120000,74499.84,3.11%,2396700.00,100000,4,
04/22/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,220.00,81.520000,17934.40,0.75%,2396700.00,100000,4,
04/22/2020,ECOZ,BAX,071813109,BAXTER INTL INC,516.00,90.100000,46491.60,1.94%,2396700.00,100000,4,
04/22/2020,ECOZ,BLK,09247X101,BLACKROCK INC,68.00,474.370000,32257.16,1.35%,2396700.00,100000,4,
04/22/2020,ECOZ,BLL,058498106,BALL CORP,344.00,65.540000,22545.76,0.94%,2396700.00,100000,4,
04/22/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,524.00,60.590000,31749.16,1.32%,2396700.00,100000,4,
04/22/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,232.00,84.960000,19710.72,0.82%,2396700.00,100000,4,
04/22/2020,ECOZ,CBOE,12503M108,CBOE GLOBAL MARKETS INC,433.00,100.390000,43468.87,1.81%,2396700.00,100000,4,
04/22/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,440.00,39.970000,17586.80,0.73%,2396700.00,100000,4,
04/22/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,356.00,70.610000,25137.16,1.05%,2396700.00,100000,4,
04/22/2020,ECOZ,CLX,189054109,CLOROX CO DEL,230.00,190.770000,43877.10,1.83%,2396700.00,100000,4,
