Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
11/11/2020,AUGZ,2SPY  210730C00328670,2SPY  210730C00328670,SPY 7/30/2021 328.67 C,205.00,40.431562,828847.02,9.60%,8635542.50,325000,13,
11/11/2020,AUGZ,2SPY  210730P00295800,2SPY  210730P00295800,SPY 7/30/2021 295.80 P,-274.00,10.656122,-291977.74,-3.38%,8635542.50,325000,13,
11/11/2020,AUGZ,912796UC1,912796UC1,UNITED STATES TREAS BILLS,8107000.00,99.982889,8105612.81,93.86%,8635542.50,325000,13,
11/11/2020,AUGZ,Cash&Other,Cash&Other,Cash & Other,-7126.01,1.000000,-7126.01,-0.08%,8635542.50,325000,13,Y
11/11/2020,ECOZ,AAPL,037833100,APPLE INC,1383.00,115.970000,160386.51,2.52%,6371360.00,200000,8,
11/11/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,377.00,98.870000,37273.99,0.59%,6371360.00,200000,8,
11/11/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,889.00,110.080000,97861.12,1.54%,6371360.00,200000,8,
11/11/2020,ECOZ,ABT,002824100,ABBOTT LABS,1273.00,110.810000,141061.13,2.21%,6371360.00,200000,8,
11/11/2020,ECOZ,ADBE,00724F101,ADOBE SYSTEMS INCORPORATED,243.00,452.000000,109836.00,1.72%,6371360.00,200000,8,
11/11/2020,ECOZ,ALL,020002101,ALLSTATE CORP,283.00,94.440000,26726.52,0.42%,6371360.00,200000,8,
11/11/2020,ECOZ,AMD,007903107,ADVANCED MICRO DEVICES INC,801.00,77.990000,62469.99,0.98%,6371360.00,200000,8,
11/11/2020,ECOZ,AMGN,031162100,AMGEN INC,184.00,241.600000,44454.40,0.70%,6371360.00,200000,8,
11/11/2020,ECOZ,AMZN,023135106,AMAZON COM INC,64.00,3035.020000,194241.28,3.05%,6371360.00,200000,8,
11/11/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,453.00,115.950000,52525.35,0.82%,6371360.00,200000,8,
11/11/2020,ECOZ,BAX,071813109,BAXTER INTL INC,681.00,81.550000,55535.55,0.87%,6371360.00,200000,8,
11/11/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,43.00,2007.440000,86319.92,1.35%,6371360.00,200000,8,
11/11/2020,ECOZ,BLK,09247X101,BLACKROCK INC,136.00,660.600000,89841.60,1.41%,6371360.00,200000,8,
11/11/2020,ECOZ,BLL,058498106,BALL CORP,529.00,94.980000,50244.42,0.79%,6371360.00,200000,8,
11/11/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,619.00,64.520000,39937.88,0.63%,6371360.00,200000,8,
11/11/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,722.00,125.010000,90257.22,1.42%,6371360.00,200000,8,
11/11/2020,ECOZ,CAH,14149Y108,CARDINAL HEALTH INC,510.00,57.370000,29258.70,0.46%,6371360.00,200000,8,
11/11/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,712.00,83.350000,59345.20,0.93%,6371360.00,200000,8,
