Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,8442381.30,250000.000,33.77,0.57,1.72,33.90,0.47,1.40,0.40,06/25/2020,0.35
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,4742757.57,175000.000,27.10,0.32,1.20,27.12,0.29,1.08,0.07,06/25/2020,0.37
