Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,3007153.89,100000.000,30.07,-0.60,-1.96,30.11,-0.96,-3.08,0.13,05/27/2020,0.59
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,2628131.14,100000.000,26.28,0.24,0.93,26.27,0.21,0.79,-0.04,05/27/2020,0.35
