Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueMark Technology AI & Deep Learning ETF,LRNZ,53656F821,2178118.64,100000.000,21.78,-1.08,-4.74,21.90,-1.03,-4.47,0.52,03/11/2020,0.45
TrueMark ESG Active Opportunities ETF,ECOZ,53656F813,2352671.29,100000.000,23.53,-1.10,-4.45,23.67,-0.98,-3.96,0.61,03/11/2020,0.39
