Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,5558825.88,175000.000,31.76,0.37,1.18,31.67,0.29,0.94,-0.31,06/08/2020,0.40
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,3464424.13,125000.000,27.72,0.33,1.21,27.74,0.32,1.18,0.10,06/08/2020,0.27
