Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,6645674.66,200000.000,33.23,-0.18,-0.54,33.32,-0.15,-0.43,0.29,06/19/2020,0.35
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,3387542.86,125000.000,27.10,-0.05,-0.17,27.20,-0.02,-0.08,0.38,06/19/2020,0.38
