Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
05/28/2020,ECOZ,AAPL,037833100,APPLE INC,224.00,318.110000,71256.64,2.71%,2628130.00,100000,4,
05/28/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,292.00,89.980000,26274.16,1.00%,2628130.00,100000,4,
05/28/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,360.00,93.330000,33598.80,1.28%,2628130.00,100000,4,
05/28/2020,ECOZ,ABT,002824100,ABBOTT LABS,637.00,90.760000,57814.12,2.20%,2628130.00,100000,4,
05/28/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,100.00,199.930000,19993.00,0.76%,2628130.00,100000,4,
05/28/2020,ECOZ,ADBE,00724F101,ADOBE INC,123.00,375.170000,46145.91,1.76%,2628130.00,100000,4,
05/28/2020,ECOZ,ALL,020002101,ALLSTATE CORP,284.00,97.190000,27601.96,1.05%,2628130.00,100000,4,
05/28/2020,ECOZ,AMGN,031162100,AMGEN INC,92.00,224.810000,20682.52,0.79%,2628130.00,100000,4,
05/28/2020,ECOZ,AMZN,023135106,AMAZON COM INC,32.00,2410.390000,77132.48,2.93%,2628130.00,100000,4,
05/28/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,220.00,101.230000,22270.60,0.85%,2628130.00,100000,4,
05/28/2020,ECOZ,BAX,071813109,BAXTER INTL INC,516.00,86.440000,44603.04,1.70%,2628130.00,100000,4,
05/28/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,17.00,1698.730000,28878.41,1.10%,2628130.00,100000,4,
05/28/2020,ECOZ,BLK,09247X101,BLACKROCK INC,68.00,536.400000,36475.20,1.39%,2628130.00,100000,4,
05/28/2020,ECOZ,BLL,058498106,BALL CORP,344.00,68.600000,23598.40,0.90%,2628130.00,100000,4,
05/28/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,524.00,60.400000,31649.60,1.20%,2628130.00,100000,4,
05/28/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,303.00,123.150000,37314.45,1.42%,2628130.00,100000,4,
05/28/2020,ECOZ,CBOE,12503M108,CBOE GLOBAL MARKETS INC,433.00,102.300000,44295.90,1.69%,2628130.00,100000,4,
05/28/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,440.00,45.150000,19866.00,0.76%,2628130.00,100000,4,
05/28/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,356.00,70.590000,25130.04,0.96%,2628130.00,100000,4,
05/28/2020,ECOZ,CLX,189054109,CLOROX CO DEL,202.00,200.000000,40400.00,1.54%,2628130.00,100000,4,
05/28/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,157.00,306.010000,48043.57,1.83%,2628130.00,100000,4,
05/28/2020,ECOZ,CPB,134429109,CAMPBELL SOUP CO,197.00,48.660000,9586.02,0.36%,2628130.00,100000,4,
05/28/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,144.00,176.600000,25430.40,0.97%,2628130.00,100000,4,
05/28/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,364.00,139.210000,50672.44,1.93%,2628130.00,100000,4,
