Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
07/30/2020,ECOZ,AAPL,037833100,APPLE INC,392.00,380.160000,149022.72,2.96%,5039300.00,175000,7,
07/30/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,511.00,97.010000,49572.11,0.98%,5039300.00,175000,7,
07/30/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,630.00,103.310000,65085.30,1.29%,5039300.00,175000,7,
07/30/2020,ECOZ,ABT,002824100,ABBOTT LABS,1114.00,102.520000,114207.28,2.27%,5039300.00,175000,7,
07/30/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,175.00,224.380000,39266.50,0.78%,5039300.00,175000,7,
07/30/2020,ECOZ,ADBE,00724F101,ADOBE INC,213.00,436.300000,92931.90,1.84%,5039300.00,175000,7,
07/30/2020,ECOZ,ALL,020002101,ALLSTATE CORP,248.00,94.000000,23312.00,0.46%,5039300.00,175000,7,
07/30/2020,ECOZ,AMGN,031162100,AMGEN INC,161.00,248.850000,40064.85,0.80%,5039300.00,175000,7,
07/30/2020,ECOZ,AMZN,023135106,AMAZON COM INC,56.00,3033.530000,169877.68,3.37%,5039300.00,175000,7,
07/30/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,397.00,96.690000,38385.93,0.76%,5039300.00,175000,7,
07/30/2020,ECOZ,BAX,071813109,BAXTER INTL INC,903.00,90.730000,81929.19,1.63%,5039300.00,175000,7,
07/30/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,38.00,1707.540000,64886.52,1.29%,5039300.00,175000,7,
07/30/2020,ECOZ,BLK,09247X101,BLACKROCK INC,119.00,577.600000,68734.40,1.36%,5039300.00,175000,7,
07/30/2020,ECOZ,BLL,058498106,BALL CORP,602.00,73.770000,44409.54,0.88%,5039300.00,175000,7,
07/30/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,759.00,59.150000,44894.85,0.89%,5039300.00,175000,7,
07/30/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,632.00,126.680000,80061.76,1.59%,5039300.00,175000,7,
07/30/2020,ECOZ,CBOE,12503M108,CBOE GLOBAL MARKETS INC,334.00,89.140000,29772.76,0.59%,5039300.00,175000,7,
07/30/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,770.00,43.000000,33110.00,0.66%,5039300.00,175000,7,
07/30/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,623.00,76.200000,47472.60,0.94%,5039300.00,175000,7,
07/30/2020,ECOZ,CLX,189054109,CLOROX CO DEL,352.00,231.000000,81312.00,1.61%,5039300.00,175000,7,
07/30/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,274.00,325.440000,89170.56,1.77%,5039300.00,175000,7,
07/30/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,252.00,193.610000,48789.72,0.97%,5039300.00,175000,7,
07/30/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,637.00,139.290000,88727.73,1.76%,5039300.00,175000,7,
