Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
04/23/2020,ECOZ,AAPL,037833100,APPLE INC,224.00,276.100000,61846.40,2.52%,2451600.00,100000,4,
04/23/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,292.00,81.470000,23789.24,0.97%,2451600.00,100000,4,
04/23/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,360.00,86.500000,31140.00,1.27%,2451600.00,100000,4,
04/23/2020,ECOZ,ABT,002824100,ABBOTT LABS,637.00,95.480000,60820.76,2.48%,2451600.00,100000,4,
04/23/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,100.00,172.310000,17231.00,0.70%,2451600.00,100000,4,
04/23/2020,ECOZ,ADBE,00724F101,ADOBE INC,123.00,336.770000,41422.71,1.69%,2451600.00,100000,4,
04/23/2020,ECOZ,AFL,001055102,AFLAC INC,420.00,35.470000,14897.40,0.61%,2451600.00,100000,4,
04/23/2020,ECOZ,ALL,020002101,ALLSTATE CORP,284.00,101.990000,28965.16,1.18%,2451600.00,100000,4,
04/23/2020,ECOZ,AMGN,031162100,AMGEN INC,92.00,229.290000,21094.68,0.86%,2451600.00,100000,4,
04/23/2020,ECOZ,AMZN,023135106,AMAZON COM INC,32.00,2363.490000,75631.68,3.08%,2451600.00,100000,4,
04/23/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,220.00,82.540000,18158.80,0.74%,2451600.00,100000,4,
04/23/2020,ECOZ,BAX,071813109,BAXTER INTL INC,516.00,90.540000,46718.64,1.91%,2451600.00,100000,4,
04/23/2020,ECOZ,BLK,09247X101,BLACKROCK INC,68.00,481.000000,32708.00,1.33%,2451600.00,100000,4,
04/23/2020,ECOZ,BLL,058498106,BALL CORP,344.00,66.620000,22917.28,0.93%,2451600.00,100000,4,
04/23/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,524.00,60.930000,31927.32,1.30%,2451600.00,100000,4,
04/23/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,232.00,88.460000,20522.72,0.84%,2451600.00,100000,4,
04/23/2020,ECOZ,CBOE,12503M108,CBOE GLOBAL MARKETS INC,433.00,100.200000,43386.60,1.77%,2451600.00,100000,4,
04/23/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,440.00,39.770000,17498.80,0.71%,2451600.00,100000,4,
04/23/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,356.00,71.210000,25350.76,1.03%,2451600.00,100000,4,
04/23/2020,ECOZ,CLX,189054109,CLOROX CO DEL,230.00,191.930000,44143.90,1.80%,2451600.00,100000,4,
04/23/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,157.00,309.420000,48578.94,1.98%,2451600.00,100000,4,
04/23/2020,ECOZ,CPB,134429109,CAMPBELL SOUP CO,197.00,50.800000,10007.60,0.41%,2451600.00,100000,4,
04/23/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,144.00,154.140000,22196.16,0.91%,2451600.00,100000,4,
04/23/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,364.00,151.690000,55215.16,2.25%,2451600.00,100000,4,
04/23/2020,ECOZ,DIS,254687106,DISNEY WALT CO,420.00,100.990000,42415.80,1.73%,2451600.00,100000,4,
04/23/2020,ECOZ,EA,285512109,ELECTRONIC ARTS INC,364.00,114.570000,41703.48,1.70%,2451600.00,100000,4,
04/23/2020,ECOZ,EIX,281020107,EDISON INTL,444.00,58.990000,26191.56,1.07%,2451600.00,100000,4,
04/23/2020,ECOZ,ENPH,29355A107,ENPHASE ENERGY INC,836.00,38.240000,31968.64,1.30%,2451600.00,100000,4,
04/23/2020,ECOZ,ES,30040W108,EVERSOURCE ENERGY,416.00,88.010000,36612.16,1.49%,2451600.00,100000,4,
04/23/2020,ECOZ,EXC,30161N101,EXELON CORP,276.00,37.200000,10267.20,0.42%,2451600.00,100000,4,
04/23/2020,ECOZ,GILD,375558103,GILEAD SCIENCES INC,301.00,81.310000,24474.31,1.00%,2451600.00,100000,4,
04/23/2020,ECOZ,GOOGL,02079K305,ALPHABET INC,56.00,1258.410000,70470.96,2.87%,2451600.00,100000,4,
04/23/2020,ECOZ,GS,38141G104,GOLDMAN SACHS GROUP INC,108.00,175.980000,19005.84,0.78%,2451600.00,100000,4,
04/23/2020,ECOZ,GWW,384802104,GRAINGER W W INC,176.00,276.130000,48598.88,1.98%,2451600.00,100000,4,
04/23/2020,ECOZ,HD,437076102,HOME DEPOT INC,118.00,204.170000,24092.06,0.98%,2451600.00,100000,4,
04/23/2020,ECOZ,HSY,427866108,HERSHEY CO,80.00,143.280000,11462.40,0.47%,2451600.00,100000,4,
04/23/2020,ECOZ,IFF,459506101,INTERNATIONAL FLAVORS&FRAGRANC COM,304.00,124.280000,37781.12,1.54%,2451600.00,100000,4,
04/23/2020,ECOZ,INTU,461202103,INTUIT,92.00,263.850000,24274.20,0.99%,2451600.00,100000,4,
04/23/2020,ECOZ,IRM,46284V101,IRON MTN INC NEW,525.00,24.500000,12862.50,0.52%,2451600.00,100000,4,
04/23/2020,ECOZ,ITW,452308109,ILLINOIS TOOL WKS INC,108.00,155.540000,16798.32,0.69%,2451600.00,100000,4,
04/23/2020,ECOZ,JNJ,478160104,JOHNSON & JOHNSON,132.00,152.990000,20194.68,0.82%,2451600.00,100000,4,
04/23/2020,ECOZ,JPM,46625H100,JPMORGAN CHASE & CO.,358.00,89.340000,31983.72,1.30%,2451600.00,100000,4,
04/23/2020,ECOZ,LRCX,512807108,LAM RESEARCH CORP,128.00,271.780000,34787.84,1.42%,2451600.00,100000,4,
04/23/2020,ECOZ,MA,57636Q104,MASTERCARD INC,180.00,256.910000,46243.80,1.89%,2451600.00,100000,4,
04/23/2020,ECOZ,MCO,615369105,MOODYS CORP,140.00,239.830000,33576.20,1.37%,2451600.00,100000,4,
04/23/2020,ECOZ,MRK,58933Y105,MERCK & CO. INC,320.00,79.980000,25593.60,1.04%,2451600.00,100000,4,
04/23/2020,ECOZ,MSCI,55354G100,MSCI INC,92.00,320.620000,29497.04,1.20%,2451600.00,100000,4,
04/23/2020,ECOZ,MSFT,594918104,MICROSOFT CORP,472.00,173.520000,81901.44,3.34%,2451600.00,100000,4,
04/23/2020,ECOZ,MSI,620076307,MOTOROLA SOLUTIONS INC,132.00,151.590000,20009.88,0.82%,2451600.00,100000,4,
04/23/2020,ECOZ,NFLX,64110L106,NETFLIX INC,100.00,421.420000,42142.00,1.72%,2451600.00,100000,4,
