Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Structured Outcome September ETF,SEPZ,53656F714,11253825.47,450000.000,25.01,-0.13,-0.51,25.02,-0.13,-0.52,0.04,10/14/2020,0.41
TrueShares Structured Outcome October ETF,OCTZ,53656F698,3836865.57,150000.000,25.58,-0.15,-0.56,25.64,-0.11,-0.44,0.24,10/14/2020,0.39
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,17850667.69,425000.000,42.00,-0.79,-1.86,42.07,-0.81,-1.89,0.16,10/14/2020,0.32
TrueShares Structured Outcome July ETF,JULZ,53656F664,6173299.93,225000.000,27.44,-0.15,-0.54,27.46,-0.14,-0.52,0.07,10/14/2020,0.50
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,6511367.46,200000.000,32.56,-0.17,-0.52,32.59,-0.17,-0.52,0.09,10/14/2020,0.10
TrueShares Structured Outcome August ETF,AUGZ,53656F722,8513955.34,325000.000,26.20,-0.14,-0.54,26.22,-0.14,-0.51,0.07,10/14/2020,0.39
