Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Structured Outcome September ETF,SEPZ,53656F714,10905848.63,450000.000,24.24,0.31,1.30,24.20,0.28,1.17,-0.13,09/28/2020,0.41
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,15464441.13,400000.000,38.66,0.40,1.06,38.70,0.40,1.03,0.09,09/28/2020,0.32
TrueShares Structured Outcome July ETF,JULZ,53656F664,5982467.89,225000.000,26.59,0.34,1.30,26.55,0.32,1.23,-0.14,09/28/2020,0.49
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,6118529.34,200000.000,30.59,0.46,1.53,30.58,0.44,1.45,-0.03,09/28/2020,0.10
TrueShares Structured Outcome August ETF,AUGZ,53656F722,8251805.87,325000.000,25.39,0.34,1.34,25.36,0.30,1.20,-0.12,09/28/2020,0.39
