Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueMark Technology AI & Deep Learning ETF,LRNZ,53656F821,652887.65,25000.000,26.12,0.50,1.96,26.12,0.48,1.85,0.01,04/24/2020,0.40
TrueMark ESG Active Opportunities ETF,ECOZ,53656F813,2474032.24,100000.000,24.74,0.34,1.39,24.73,0.32,1.31,-0.03,04/24/2020,0.42
