Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
07/10/2020,ECOZ,AAPL,037833100,APPLE INC,392.00,382.730000,150030.16,3.03%,4954250.00,175000,7,
07/10/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,511.00,97.940000,50047.34,1.01%,4954250.00,175000,7,
07/10/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,630.00,96.390000,60725.70,1.23%,4954250.00,175000,7,
07/10/2020,ECOZ,ABT,002824100,ABBOTT LABS,1114.00,93.670000,104348.38,2.11%,4954250.00,175000,7,
07/10/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,175.00,219.310000,38379.25,0.77%,4954250.00,175000,7,
07/10/2020,ECOZ,ADBE,00724F101,ADOBE INC,213.00,460.840000,98158.92,1.98%,4954250.00,175000,7,
07/10/2020,ECOZ,ALL,020002101,ALLSTATE CORP,248.00,85.820000,21283.36,0.43%,4954250.00,175000,7,
07/10/2020,ECOZ,AMGN,031162100,AMGEN INC,161.00,251.660000,40517.26,0.82%,4954250.00,175000,7,
07/10/2020,ECOZ,AMZN,023135106,AMAZON COM INC,56.00,3182.630000,178227.28,3.60%,4954250.00,175000,7,
07/10/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,397.00,90.570000,35956.29,0.73%,4954250.00,175000,7,
07/10/2020,ECOZ,BAX,071813109,BAXTER INTL INC,903.00,85.690000,77378.07,1.56%,4954250.00,175000,7,
07/10/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,38.00,1670.280000,63470.64,1.28%,4954250.00,175000,7,
07/10/2020,ECOZ,BLK,09247X101,BLACKROCK INC,119.00,549.440000,65383.36,1.32%,4954250.00,175000,7,
07/10/2020,ECOZ,BLL,058498106,BALL CORP,602.00,71.750000,43193.50,0.87%,4954250.00,175000,7,
07/10/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,759.00,58.110000,44105.49,0.89%,4954250.00,175000,7,
07/10/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,632.00,141.220000,89251.04,1.80%,4954250.00,175000,7,
07/10/2020,ECOZ,CBOE,12503M108,CBOE GLOBAL MARKETS INC,334.00,90.190000,30123.46,0.61%,4954250.00,175000,7,
07/10/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,770.00,43.870000,33779.90,0.68%,4954250.00,175000,7,
07/10/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,623.00,73.320000,45678.36,0.92%,4954250.00,175000,7,
07/10/2020,ECOZ,CLX,189054109,CLOROX CO DEL,352.00,229.500000,80784.00,1.63%,4954250.00,175000,7,
07/10/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,274.00,325.540000,89197.96,1.80%,4954250.00,175000,7,
07/10/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,252.00,200.740000,50586.48,1.02%,4954250.00,175000,7,
07/10/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,637.00,152.680000,97257.16,1.96%,4954250.00,175000,7,
07/10/2020,ECOZ,DIS,254687106,DISNEY WALT CO,735.00,116.810000,85855.35,1.73%,4954250.00,175000,7,
07/10/2020,ECOZ,EA,285512109,ELECTRONIC ARTS INC,637.00,138.800000,88415.60,1.78%,4954250.00,175000,7,
07/10/2020,ECOZ,EIX,281020107,EDISON INTL,777.00,53.930000,41903.61,0.85%,4954250.00,175000,7,
07/10/2020,ECOZ,ENPH,29355A107,ENPHASE ENERGY INC,1756.00,55.800000,97984.80,1.98%,4954250.00,175000,7,
07/10/2020,ECOZ,ES,30040W108,EVERSOURCE ENERGY,728.00,84.570000,61566.96,1.24%,4954250.00,175000,7,
07/10/2020,ECOZ,GILD,375558103,GILEAD SCIENCES INC,526.00,74.710000,39297.46,0.79%,4954250.00,175000,7,
07/10/2020,ECOZ,GOOGL,02079K305,ALPHABET INC,98.00,1518.660000,148828.68,3.00%,4954250.00,175000,7,
07/10/2020,ECOZ,GS,38141G104,GOLDMAN SACHS GROUP INC,189.00,196.830000,37200.87,0.75%,4954250.00,175000,7,
07/10/2020,ECOZ,GWW,384802104,GRAINGER W W INC,308.00,308.990000,95168.92,1.92%,4954250.00,175000,7,
07/10/2020,ECOZ,HD,437076102,HOME DEPOT INC,205.00,247.960000,50831.80,1.03%,4954250.00,175000,7,
