Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Structured Outcome September ETF,SEPZ,53656F714,11811351.63,475000.000,24.87,0.05,0.20,24.82,0.06,0.26,-0.19,10/23/2020,0.40
TrueShares Structured Outcome October ETF,OCTZ,53656F698,3818880.88,150000.000,25.46,0.05,0.20,25.47,0.07,0.27,0.05,10/23/2020,0.39
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,18283229.55,450000.000,40.63,0.43,1.07,40.61,0.41,1.02,-0.04,10/23/2020,0.32
TrueShares Structured Outcome July ETF,JULZ,53656F664,6139281.83,225000.000,27.29,0.06,0.21,27.28,0.07,0.25,-0.01,10/23/2020,0.51
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,6359656.98,200000.000,31.80,0.06,0.18,31.79,0.06,0.18,-0.02,10/23/2020,0.10
TrueShares Structured Outcome August ETF,AUGZ,53656F722,8465783.22,325000.000,26.05,0.05,0.21,26.04,0.07,0.25,-0.03,10/23/2020,0.39
