Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Structured Outcome September ETF,SEPZ,53656F714,7993236.57,325000.000,24.59,-0.10,-0.39,24.63,-0.08,-0.32,0.14,09/04/2020,0.20
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,12935132.81,350000.000,36.96,-1.06,-2.79,36.98,-0.86,-2.28,0.05,09/04/2020,0.28
TrueShares Structured Outcome July ETF,JULZ,53656F664,6070596.02,225000.000,26.98,-0.17,-0.62,27.03,-0.14,-0.52,0.18,09/04/2020,0.40
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,5326239.20,175000.000,30.44,-0.41,-1.32,30.47,-0.38,-1.23,0.10,09/04/2020,0.10
TrueShares Structured Outcome August ETF,AUGZ,53656F722,9658148.51,375000.000,25.76,-0.14,-0.54,25.76,-0.14,-0.54,0.03,09/04/2020,0.39
