Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,8210047.13,250000.000,32.84,-0.19,-0.59,32.86,-0.36,-1.08,0.06,06/29/2020,0.39
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,4688472.72,175000.000,26.79,0.29,1.08,26.76,0.22,0.82,-0.11,06/29/2020,0.37
