Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueMark Technology AI & Deep Learning ETF,LRNZ,53656F821,2072796.04,100000.000,20.73,0.01,0.06,20.77,-0.14,-0.68,0.21,03/20/2020,0.83
TrueMark ESG Active Opportunities ETF,ECOZ,53656F813,1999869.60,100000.000,20.00,-1.00,-4.76,20.02,-1.02,-4.83,0.12,03/20/2020,0.71
