Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,5491296.33,175000.000,31.38,-0.75,-2.33,31.50,-0.70,-2.19,0.40,06/04/2020,0.37
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,3361776.62,125000.000,26.89,-0.22,-0.81,26.92,-0.30,-1.10,0.10,06/04/2020,0.27
