Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,6751899.64,200000.000,33.76,0.53,1.60,33.79,0.46,1.38,0.08,06/22/2020,0.35
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,3411188.17,125000.000,27.29,0.19,0.70,27.33,0.13,0.47,0.15,06/22/2020,0.38
