Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueMark Technology AI & Deep Learning ETF,LRNZ,53656F821,590503.78,25000.000,23.62,0.01,0.02,23.64,0.01,0.04,0.09,04/09/2020,
TrueMark ESG Active Opportunities ETF,ECOZ,53656F813,1798532.27,75000.000,23.98,0.28,1.18,24.00,0.29,1.24,0.08,04/09/2020,
