Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
10/13/2020,AUGZ,2SPY  210730C00328670,2SPY  210730C00328670,SPY 7/30/2021 328.67 C,205.00,41.885074,858644.02,9.98%,8604212.50,325000,13,
10/13/2020,AUGZ,2SPY  210730P00295800,2SPY  210730P00295800,SPY 7/30/2021 295.80 P,-274.00,13.045759,-357453.80,-4.15%,8604212.50,325000,13,
10/13/2020,AUGZ,912796UC1,912796UC1,UNITED STATES TREAS BILLS,8113000.00,99.971764,8110709.21,94.26%,8604212.50,325000,13,
10/13/2020,AUGZ,Cash&Other,Cash&Other,Cash & Other,-7872.70,1.000000,-7872.70,-0.09%,8604212.50,325000,13,Y
10/13/2020,ECOZ,AAPL,037833100,APPLE INC,1383.00,124.400000,172045.20,2.63%,6535280.00,200000,8,
10/13/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,377.00,88.320000,33296.64,0.51%,6535280.00,200000,8,
10/13/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,889.00,96.860000,86108.54,1.32%,6535280.00,200000,8,
10/13/2020,ECOZ,ABT,002824100,ABBOTT LABS,1273.00,111.050000,141366.65,2.16%,6535280.00,200000,8,
10/13/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,143.00,230.590000,32974.37,0.50%,6535280.00,200000,8,
10/13/2020,ECOZ,ADBE,00724F101,ADOBE SYSTEMS INCORPORATED,243.00,510.890000,124146.27,1.90%,6535280.00,200000,8,
10/13/2020,ECOZ,ALL,020002101,ALLSTATE CORP,283.00,94.260000,26675.58,0.41%,6535280.00,200000,8,
10/13/2020,ECOZ,AMGN,031162100,AMGEN INC,184.00,239.510000,44069.84,0.67%,6535280.00,200000,8,
10/13/2020,ECOZ,AMZN,023135106,AMAZON COM INC,64.00,3442.930000,220347.52,3.37%,6535280.00,200000,8,
10/13/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,453.00,106.610000,48294.33,0.74%,6535280.00,200000,8,
10/13/2020,ECOZ,BAX,071813109,BAXTER INTL INC,681.00,79.630000,54228.03,0.83%,6535280.00,200000,8,
10/13/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,43.00,1845.000000,79335.00,1.21%,6535280.00,200000,8,
10/13/2020,ECOZ,BLK,09247X101,BLACKROCK INC,136.00,614.890000,83625.04,1.28%,6535280.00,200000,8,
10/13/2020,ECOZ,BLL,058498106,BALL CORP,529.00,89.680000,47440.72,0.73%,6535280.00,200000,8,
10/13/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,619.00,61.830000,38272.77,0.59%,6535280.00,200000,8,
10/13/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,722.00,192.300000,138840.60,2.12%,6535280.00,200000,8,
10/13/2020,ECOZ,CAH,14149Y108,CARDINAL HEALTH INC,510.00,48.320000,24643.20,0.38%,6535280.00,200000,8,
10/13/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,381.00,50.310000,19168.11,0.29%,6535280.00,200000,8,
10/13/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,712.00,80.630000,57408.56,0.88%,6535280.00,200000,8,
10/13/2020,ECOZ,CLX,189054109,CLOROX CO DEL,224.00,215.420000,48254.08,0.74%,6535280.00,200000,8,
10/13/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,313.00,376.480000,117838.24,1.80%,6535280.00,200000,8,
10/13/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,288.00,267.070000,76916.16,1.18%,6535280.00,200000,8,
10/13/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,498.00,145.250000,72334.50,1.11%,6535280.00,200000,8,
10/13/2020,ECOZ,DIS,254687106,DISNEY WALT CO,1077.00,124.970000,134592.69,2.06%,6535280.00,200000,8,
10/13/2020,ECOZ,EA,285512109,ELECTRONIC ARTS INC,798.00,130.880000,104442.24,1.60%,6535280.00,200000,8,
10/13/2020,ECOZ,ENPH,29355A107,ENPHASE ENERGY INC,2006.00,104.430000,209486.58,3.21%,6535280.00,200000,8,
10/13/2020,ECOZ,ES,30040W108,EVERSOURCE ENERGY,832.00,93.060000,77425.92,1.18%,6535280.00,200000,8,
10/13/2020,ECOZ,EXPD,302130109,EXPEDITORS INTL WASH INC,515.00,93.260000,48028.90,0.73%,6535280.00,200000,8,
