Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,10018646.39,275000.000,36.43,0.56,1.56,36.45,0.57,1.59,0.05,07/09/2020,0.31
TrueShares Structured Outcome July ETF,JULZ,53656F664,4417747.77,175000.000,25.24,-0.11,-0.44,25.27,-0.14,-0.54,0.11,07/09/2020,0.36
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,4954247.12,175000.000,28.31,-0.01,-0.04,28.31,-0.01,-0.02,-0.01,07/09/2020,0.37
