Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
09/24/2020,AUGZ,2SPY  210730C00328670,2SPY  210730C00328670,SPY 7/30/2021 328.67 C,205.00,25.399714,520694.14,6.49%,8017392.50,325000,13,
09/24/2020,AUGZ,2SPY  210730P00295800,2SPY  210730P00295800,SPY 7/30/2021 295.80 P,-274.00,22.243367,-609468.26,-7.60%,8017392.50,325000,13,
09/24/2020,AUGZ,912796UC1,912796UC1,UNITED STATES TREAS BILLS,8113000.00,99.968500,8110444.41,101.16%,8017392.50,325000,13,
09/24/2020,AUGZ,Cash&Other,Cash&Other,Cash & Other,-4450.82,1.000000,-4450.82,-0.06%,8017392.50,325000,13,Y
09/24/2020,ECOZ,AAPL,037833100,APPLE INC,1548.00,107.120000,165821.76,2.81%,5893300.00,200000,8,
09/24/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,377.00,87.140000,32851.78,0.56%,5893300.00,200000,8,
09/24/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,889.00,94.140000,83690.46,1.42%,5893300.00,200000,8,
09/24/2020,ECOZ,ABT,002824100,ABBOTT LABS,1273.00,102.730000,130775.29,2.22%,5893300.00,200000,8,
09/24/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,200.00,230.650000,46130.00,0.78%,5893300.00,200000,8,
09/24/2020,ECOZ,ADBE,00724F101,ADOBE SYSTEMS INCORPORATED,243.00,470.390000,114304.77,1.94%,5893300.00,200000,8,
09/24/2020,ECOZ,ALL,020002101,ALLSTATE CORP,283.00,89.620000,25362.46,0.43%,5893300.00,200000,8,
09/24/2020,ECOZ,AMGN,031162100,AMGEN INC,184.00,242.590000,44636.56,0.76%,5893300.00,200000,8,
09/24/2020,ECOZ,AMZN,023135106,AMAZON COM INC,64.00,2999.860000,191991.04,3.26%,5893300.00,200000,8,
09/24/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,453.00,95.560000,43288.68,0.73%,5893300.00,200000,8,
09/24/2020,ECOZ,BAX,071813109,BAXTER INTL INC,681.00,78.330000,53342.73,0.91%,5893300.00,200000,8,
09/24/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,43.00,1638.470000,70454.21,1.20%,5893300.00,200000,8,
09/24/2020,ECOZ,BLK,09247X101,BLACKROCK INC,136.00,538.540000,73241.44,1.24%,5893300.00,200000,8,
09/24/2020,ECOZ,BLL,058498106,BALL CORP,529.00,79.850000,42240.65,0.72%,5893300.00,200000,8,
09/24/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,619.00,58.990000,36514.81,0.62%,5893300.00,200000,8,
09/24/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,722.00,150.570000,108711.54,1.84%,5893300.00,200000,8,
09/24/2020,ECOZ,CAH,14149Y108,CARDINAL HEALTH INC,510.00,45.250000,23077.50,0.39%,5893300.00,200000,8,
09/24/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,381.00,45.000000,17145.00,0.29%,5893300.00,200000,8,
09/24/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,712.00,75.140000,53499.68,0.91%,5893300.00,200000,8,
09/24/2020,ECOZ,CLX,189054109,CLOROX CO DEL,224.00,212.230000,47539.52,0.81%,5893300.00,200000,8,
09/24/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,313.00,344.630000,107869.19,1.83%,5893300.00,200000,8,
09/24/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,288.00,235.990000,67965.12,1.15%,5893300.00,200000,8,
09/24/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,498.00,133.150000,66308.70,1.13%,5893300.00,200000,8,
09/24/2020,ECOZ,DIS,254687106,DISNEY WALT CO,1077.00,123.280000,132772.56,2.25%,5893300.00,200000,8,
09/24/2020,ECOZ,EA,285512109,ELECTRONIC ARTS INC,798.00,128.420000,102479.16,1.74%,5893300.00,200000,8,
09/24/2020,ECOZ,ENPH,29355A107,ENPHASE ENERGY INC,2006.00,70.270000,140961.62,2.39%,5893300.00,200000,8,
09/24/2020,ECOZ,ES,30040W108,EVERSOURCE ENERGY,832.00,78.290000,65137.28,1.11%,5893300.00,200000,8,
09/24/2020,ECOZ,EXPD,302130109,EXPEDITORS INTL WASH INC,515.00,88.740000,45701.10,0.78%,5893300.00,200000,8,
09/24/2020,ECOZ,GILD,375558103,GILEAD SCIENCES INC,601.00,63.090000,37917.09,0.64%,5893300.00,200000,8,
09/24/2020,ECOZ,GOOGL,02079K305,ALPHABET INC,112.00,1409.390000,157851.68,2.68%,5893300.00,200000,8,
09/24/2020,ECOZ,GS,38141G104,GOLDMAN SACHS GROUP INC,27.00,186.120000,5025.24,0.09%,5893300.00,200000,8,
09/24/2020,ECOZ,GWW,384802104,GRAINGER W W INC,309.00,339.090000,104778.81,1.78%,5893300.00,200000,8,
09/24/2020,ECOZ,HD,437076102,HOME DEPOT INC,234.00,266.550000,62372.70,1.06%,5893300.00,200000,8,
09/24/2020,ECOZ,IFF,459506101,INTERNATIONAL FLAVORS&FRAGRANC COM,435.00,116.120000,50512.20,0.86%,5893300.00,200000,8,
09/24/2020,ECOZ,INTU,461202103,INTUIT,184.00,304.930000,56107.12,0.95%,5893300.00,200000,8,
09/24/2020,ECOZ,IRM,46284V101,IRON MTN INC NEW,1049.00,26.060000,27336.94,0.46%,5893300.00,200000,8,
09/24/2020,ECOZ,ITW,452308109,ILLINOIS TOOL WKS INC,216.00,190.840000,41221.44,0.70%,5893300.00,200000,8,
09/24/2020,ECOZ,JNJ,478160104,JOHNSON & JOHNSON,264.00,144.440000,38132.16,0.65%,5893300.00,200000,8,
09/24/2020,ECOZ,JPM,46625H100,JPMORGAN CHASE & CO.,912.00,92.740000,84578.88,1.44%,5893300.00,200000,8,
09/24/2020,ECOZ,LRCX,512807108,LAM RESEARCH CORP,194.00,317.020000,61501.88,1.04%,5893300.00,200000,8,
09/24/2020,ECOZ,MA,57636Q104,MASTERCARD INCORPORATED,360.00,324.530000,116830.80,1.98%,5893300.00,200000,8,
09/24/2020,ECOZ,MCO,615369105,MOODYS CORP,280.00,273.660000,76624.80,1.30%,5893300.00,200000,8,
09/24/2020,ECOZ,MRK,58933Y105,MERCK & CO. INC,449.00,82.630000,37100.87,0.63%,5893300.00,200000,8,
09/24/2020,ECOZ,MSCI,55354G100,MSCI INC,265.00,345.460000,91546.90,1.55%,5893300.00,200000,8,
09/24/2020,ECOZ,MSFT,594918104,MICROSOFT CORP,944.00,200.590000,189356.96,3.21%,5893300.00,200000,8,
09/24/2020,ECOZ,NDAQ,631103108,NASDAQ INC,227.00,119.730000,27178.71,0.46%,5893300.00,200000,8,
09/24/2020,ECOZ,NFLX,64110L106,NETFLIX INC,200.00,470.610000,94122.00,1.60%,5893300.00,200000,8,
09/24/2020,ECOZ,NKE,654106103,NIKE INC,918.00,127.110000,116686.98,1.98%,5893300.00,200000,8,
09/24/2020,ECOZ,NVDA,67066G104,NVIDIA CORPORATION,240.00,484.950000,116388.00,1.97%,5893300.00,200000,8,
09/24/2020,ECOZ,PEP,713448108,PEPSICO INC,640.00,131.000000,83840.00,1.42%,5893300.00,200000,8,
09/24/2020,ECOZ,PLD,74340W103,PROLOGIS INC.,993.00,95.300000,94632.90,1.61%,5893300.00,200000,8,
09/24/2020,ECOZ,PYPL,70450Y103,PAYPAL HLDGS INC,438.00,181.610000,79545.18,1.35%,5893300.00,200000,8,
09/24/2020,ECOZ,QCOM,747525103,QUALCOMM INC,656.00,110.570000,72533.92,1.23%,5893300.00,200000,8,
09/24/2020,ECOZ,REGN,75886F107,REGENERON PHARMACEUTICALS,154.00,565.190000,87039.26,1.48%,5893300.00,200000,8,
09/24/2020,ECOZ,ROK,773903109,ROCKWELL AUTOMATION INC,572.00,212.780000,121710.16,2.07%,5893300.00,200000,8,
09/24/2020,ECOZ,SBUX,855244109,STARBUCKS CORP,1264.00,82.990000,104899.36,1.78%,5893300.00,200000,8,
09/24/2020,ECOZ,SEDG,83417M104,SOLAREDGE TECHNOLOGIES INC,200.00,189.440000,37888.00,0.64%,5893300.00,200000,8,
09/24/2020,ECOZ,SJM,832696405,SMUCKER J M CO,38.00,108.290000,4115.02,0.07%,5893300.00,200000,8,
09/24/2020,ECOZ,SPGI,78409V104,S&P Global Inc,232.00,343.060000,79589.92,1.35%,5893300.00,200000,8,
09/24/2020,ECOZ,SQ,852234103,SQUARE INC,1235.00,149.590000,184743.65,3.13%,5893300.00,200000,8,
09/24/2020,ECOZ,SYY,871829107,SYSCO CORP,1324.00,60.520000,80128.48,1.36%,5893300.00,200000,8,
09/24/2020,ECOZ,TDOC,87918A105,TELADOC HEALTH INC,204.00,209.220000,42680.88,0.72%,5893300.00,200000,8,
09/24/2020,ECOZ,TGT,87612E106,TARGET CORP,384.00,151.010000,57987.84,0.98%,5893300.00,200000,8,
09/24/2020,ECOZ,TSCO,892356106,TRACTOR SUPPLY CO,235.00,139.930000,32883.55,0.56%,5893300.00,200000,8,
09/24/2020,ECOZ,TSLA,88160R101,TESLA INC,403.00,380.360000,153285.08,2.60%,5893300.00,200000,8,
09/24/2020,ECOZ,TWTR,90184L102,TWITTER INC,1662.00,45.330000,75338.46,1.28%,5893300.00,200000,8,
09/24/2020,ECOZ,UBER,90353T100,UBER TECHNOLOGIES INC,3043.00,33.550000,102092.65,1.73%,5893300.00,200000,8,
09/24/2020,ECOZ,UNH,91324P102,UNITEDHEALTH GROUP INC,288.00,292.140000,84136.32,1.43%,5893300.00,200000,8,
09/24/2020,ECOZ,UNP,907818108,UNION PAC CORP,153.00,194.320000,29730.96,0.50%,5893300.00,200000,8,
09/24/2020,ECOZ,UPS,911312106,UNITED PARCEL SERVICE INC,688.00,161.550000,111146.40,1.89%,5893300.00,200000,8,
09/24/2020,ECOZ,V,92826C839,VISA INC,248.00,195.370000,48451.76,0.82%,5893300.00,200000,8,
09/24/2020,ECOZ,VAR,92220P105,VARIAN MED SYS INC,216.00,171.810000,37110.96,0.63%,5893300.00,200000,8,
