Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Structured Outcome September ETF,SEPZ,53656F714,11231838.26,450000.000,24.96,-0.02,-0.09,24.98,0.02,0.08,0.06,10/16/2020,0.41
TrueShares Structured Outcome October ETF,OCTZ,53656F698,3831456.07,150000.000,25.54,-0.03,-0.12,25.60,0.03,0.13,0.21,10/16/2020,0.39
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,17762962.73,425000.000,41.80,0.05,0.12,41.82,0.05,0.12,0.07,10/16/2020,0.33
TrueShares Structured Outcome July ETF,JULZ,53656F664,6162525.33,225000.000,27.39,-0.02,-0.09,27.41,0.02,0.06,0.08,10/16/2020,0.50
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,6484189.11,200000.000,32.42,-0.04,-0.13,32.44,-0.02,-0.05,0.07,10/16/2020,0.10
TrueShares Structured Outcome August ETF,AUGZ,53656F722,8496575.12,325000.000,26.14,-0.02,-0.08,26.16,0.00,0.01,0.06,10/16/2020,0.39
