Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
08/10/2020,AUGZ,2SPY  210730C00328670,2SPY  210730C00328670,SPY 7/30/2021 328.67 C,190.00,30.121543,572309.32,7.54%,7592730.00,300000,12,
08/10/2020,AUGZ,2SPY  210730P00295800,2SPY  210730P00295800,SPY 7/30/2021 295.80 P,-253.00,18.459376,-467022.21,-6.15%,7592730.00,300000,12,
08/10/2020,AUGZ,912796UC1,912796UC1,UNITED STATES TREAS BILLS,7496000.00,99.950125,7492261.37,98.68%,7592730.00,300000,12,
08/10/2020,AUGZ,Cash&Other,Cash&Other,Cash & Other,-4982.39,1.000000,-4982.39,-0.07%,7592730.00,300000,12,Y
08/10/2020,ECOZ,AAPL,037833100,APPLE INC,392.00,444.450000,174224.40,3.34%,5216872.50,175000,7,
08/10/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,511.00,92.920000,47482.12,0.91%,5216872.50,175000,7,
08/10/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,778.00,102.100000,79433.80,1.52%,5216872.50,175000,7,
08/10/2020,ECOZ,ABT,002824100,ABBOTT LABS,1114.00,101.230000,112770.22,2.16%,5216872.50,175000,7,
08/10/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,175.00,231.560000,40523.00,0.78%,5216872.50,175000,7,
08/10/2020,ECOZ,ADBE,00724F101,ADOBE INC,213.00,449.570000,95758.41,1.84%,5216872.50,175000,7,
08/10/2020,ECOZ,ALL,020002101,ALLSTATE CORP,248.00,96.910000,24033.68,0.46%,5216872.50,175000,7,
08/10/2020,ECOZ,AMGN,031162100,AMGEN INC,161.00,240.690000,38751.09,0.74%,5216872.50,175000,7,
08/10/2020,ECOZ,AMZN,023135106,AMAZON COM INC,56.00,3167.460000,177377.76,3.40%,5216872.50,175000,7,
08/10/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,397.00,99.160000,39366.52,0.75%,5216872.50,175000,7,
08/10/2020,ECOZ,BAX,071813109,BAXTER INTL INC,596.00,80.730000,48115.08,0.92%,5216872.50,175000,7,
08/10/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,38.00,1754.480000,66670.24,1.28%,5216872.50,175000,7,
08/10/2020,ECOZ,BLK,09247X101,BLACKROCK INC,119.00,588.190000,69994.61,1.34%,5216872.50,175000,7,
08/10/2020,ECOZ,BLL,058498106,BALL CORP,602.00,75.530000,45469.06,0.87%,5216872.50,175000,7,
08/10/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,542.00,61.020000,33072.84,0.63%,5216872.50,175000,7,
08/10/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,632.00,131.510000,83114.32,1.59%,5216872.50,175000,7,
08/10/2020,ECOZ,CAH,14149Y108,CARDINAL HEALTH INC,447.00,52.580000,23503.26,0.45%,5216872.50,175000,7,
08/10/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,334.00,44.020000,14702.68,0.28%,5216872.50,175000,7,
08/10/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,623.00,76.240000,47497.52,0.91%,5216872.50,175000,7,
08/10/2020,ECOZ,CLX,189054109,CLOROX CO DEL,352.00,237.490000,83596.48,1.60%,5216872.50,175000,7,
08/10/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,274.00,340.910000,93409.34,1.79%,5216872.50,175000,7,
08/10/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,252.00,201.050000,50664.60,0.97%,5216872.50,175000,7,
08/10/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,637.00,141.140000,89906.18,1.72%,5216872.50,175000,7,
08/10/2020,ECOZ,DIS,254687106,DISNEY WALT CO,823.00,129.930000,106932.39,2.05%,5216872.50,175000,7,
08/10/2020,ECOZ,EA,285512109,ELECTRONIC ARTS INC,637.00,143.990000,91721.63,1.76%,5216872.50,175000,7,
08/10/2020,ECOZ,EIX,281020107,EDISON INTL,777.00,54.610000,42431.97,0.81%,5216872.50,175000,7,
08/10/2020,ECOZ,ENPH,29355A107,ENPHASE ENERGY INC,1756.00,72.840000,127907.04,2.45%,5216872.50,175000,7,
08/10/2020,ECOZ,ES,30040W108,EVERSOURCE ENERGY,728.00,89.020000,64806.56,1.24%,5216872.50,175000,7,
08/10/2020,ECOZ,EXPD,302130109,EXPEDITORS INTL WASH INC,327.00,85.450000,27942.15,0.54%,5216872.50,175000,7,
08/10/2020,ECOZ,GILD,375558103,GILEAD SCIENCES INC,526.00,69.350000,36478.10,0.70%,5216872.50,175000,7,
08/10/2020,ECOZ,GOOGL,02079K305,ALPHABET INC,98.00,1498.370000,146840.26,2.81%,5216872.50,175000,7,
