Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,9440633.75,275000.000,34.33,-1.68,-4.68,34.32,-1.83,-5.07,-0.02,07/13/2020,0.30
TrueShares Structured Outcome July ETF,JULZ,53656F664,4418542.66,175000.000,25.25,-0.20,-0.78,25.28,-0.22,-0.86,0.11,07/13/2020,0.39
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,4897346.33,175000.000,27.98,-0.48,-1.70,28.92,0.44,1.54,3.34,07/13/2020,0.37
