Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
03/23/2020,ECOZ,AAPL,037833100,APPLE INC,272.00,229.240000,62353.28,3.12%,1999870.00,100000,4,
03/23/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,292.00,68.820000,20095.44,1.00%,1999870.00,100000,4,
03/23/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,360.00,80.610000,29019.60,1.45%,1999870.00,100000,4,
03/23/2020,ECOZ,ABT,002824100,ABBOTT LABS,552.00,68.000000,37536.00,1.88%,1999870.00,100000,4,
03/23/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,100.00,149.940000,14994.00,0.75%,1999870.00,100000,4,
03/23/2020,ECOZ,ADBE,00724F101,ADOBE INC,92.00,295.340000,27171.28,1.36%,1999870.00,100000,4,
03/23/2020,ECOZ,ADP,053015103,AUTOMATIC DATA PROCESSING INC COM,76.00,112.060000,8516.56,0.43%,1999870.00,100000,4,
03/23/2020,ECOZ,AFL,001055102,AFLAC INC,420.00,26.730000,11226.60,0.56%,1999870.00,100000,4,
03/23/2020,ECOZ,ALL,020002101,ALLSTATE CORP,284.00,73.870000,20979.08,1.05%,1999870.00,100000,4,
03/23/2020,ECOZ,AMGN,031162100,AMGEN INC,92.00,188.250000,17319.00,0.87%,1999870.00,100000,4,
03/23/2020,ECOZ,AMZN,023135106,AMAZON COM INC,24.00,1846.090000,44306.16,2.22%,1999870.00,100000,4,
03/23/2020,ECOZ,AVB,053484101,AVALONBAY CMNTYS INC,84.00,131.620000,11056.08,0.55%,1999870.00,100000,4,
03/23/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,220.00,74.120000,16306.40,0.82%,1999870.00,100000,4,
03/23/2020,ECOZ,BAX,071813109,BAXTER INTL INC,516.00,75.750000,39087.00,1.95%,1999870.00,100000,4,
03/23/2020,ECOZ,BLK,09247X101,BLACKROCK INC,68.00,354.720000,24120.96,1.21%,1999870.00,100000,4,
03/23/2020,ECOZ,BLL,058498106,BALL CORP,344.00,54.890000,18882.16,0.94%,1999870.00,100000,4,
03/23/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,524.00,48.400000,25361.60,1.27%,1999870.00,100000,4,
03/23/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,232.00,57.990000,13453.68,0.67%,1999870.00,100000,4,
03/23/2020,ECOZ,CBOE,12503M108,CBOE GLOBAL MARKETS INC,368.00,79.690000,29325.92,1.47%,1999870.00,100000,4,
03/23/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,440.00,34.260000,15074.40,0.75%,1999870.00,100000,4,
03/23/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,356.00,62.080000,22100.48,1.11%,1999870.00,100000,4,
03/23/2020,ECOZ,CLX,189054109,CLOROX CO DEL,200.00,177.400000,35480.00,1.77%,1999870.00,100000,4,
03/23/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,138.00,290.420000,40077.96,2.00%,1999870.00,100000,4,
03/23/2020,ECOZ,CPB,134429109,CAMPBELL SOUP CO,197.00,45.300000,8924.10,0.45%,1999870.00,100000,4,
03/23/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,144.00,139.350000,20066.40,1.00%,1999870.00,100000,4,
03/23/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,364.00,119.330000,43436.12,2.17%,1999870.00,100000,4,
03/23/2020,ECOZ,DIS,254687106,DISNEY WALT CO,420.00,85.980000,36111.60,1.81%,1999870.00,100000,4,
03/23/2020,ECOZ,EA,285512109,ELECTRONIC ARTS INC,364.00,86.940000,31646.16,1.58%,1999870.00,100000,4,
03/23/2020,ECOZ,EIX,281020107,EDISON INTL,444.00,46.860000,20805.84,1.04%,1999870.00,100000,4,
03/23/2020,ECOZ,ES,30040W108,EVERSOURCE ENERGY,416.00,68.340000,28429.44,1.42%,1999870.00,100000,4,
03/23/2020,ECOZ,EXC,30161N101,EXELON CORP,276.00,31.000000,8556.00,0.43%,1999870.00,100000,4,
03/23/2020,ECOZ,GILD,375558103,GILEAD SCIENCES INC,172.00,73.260000,12600.72,0.63%,1999870.00,100000,4,
03/23/2020,ECOZ,GOOGL,02079K305,ALPHABET INC,56.00,1068.210000,59819.76,2.99%,1999870.00,100000,4,
03/23/2020,ECOZ,GS,38141G104,GOLDMAN SACHS GROUP INC,108.00,138.410000,14948.28,0.75%,1999870.00,100000,4,
03/23/2020,ECOZ,GWW,384802104,GRAINGER W W INC,176.00,213.780000,37625.28,1.88%,1999870.00,100000,4,
03/23/2020,ECOZ,HSY,427866108,HERSHEY CO,80.00,117.730000,9418.40,0.47%,1999870.00,100000,4,
03/23/2020,ECOZ,IFF,459506101,INTERNATIONAL FLAVORS&FRAGRANC COM,304.00,102.410000,31132.64,1.56%,1999870.00,100000,4,
03/23/2020,ECOZ,INTU,461202103,INTUIT,92.00,201.840000,18569.28,0.93%,1999870.00,100000,4,
03/23/2020,ECOZ,IPG,460690100,INTERPUBLIC GROUP COS INC,572.00,12.520000,7161.44,0.36%,1999870.00,100000,4,
03/23/2020,ECOZ,IR,45687V106,INGERSOLL RAND INC,204.00,19.610000,4000.44,0.20%,1999870.00,100000,4,
