Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
03/09/2020,ECOZ,AAPL,037833100,APPLE INC,272.00,289.030000,78616.16,3.10%,2534910.00,100000,4,
03/09/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,292.00,88.820000,25935.44,1.02%,2534910.00,100000,4,
03/09/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,360.00,85.810000,30891.60,1.22%,2534910.00,100000,4,
03/09/2020,ECOZ,ABT,002824100,ABBOTT LABS,552.00,81.740000,45120.48,1.78%,2534910.00,100000,4,
03/09/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,100.00,178.750000,17875.00,0.71%,2534910.00,100000,4,
03/09/2020,ECOZ,ADBE,00724F101,ADOBE INC,92.00,336.770000,30982.84,1.22%,2534910.00,100000,4,
03/09/2020,ECOZ,ADP,053015103,AUTOMATIC DATA PROCESSING INC COM,76.00,159.150000,12095.40,0.48%,2534910.00,100000,4,
03/09/2020,ECOZ,AFL,001055102,AFLAC INC,420.00,40.780000,17127.60,0.68%,2534910.00,100000,4,
03/09/2020,ECOZ,ALL,020002101,ALLSTATE CORP,284.00,107.140000,30427.76,1.20%,2534910.00,100000,4,
03/09/2020,ECOZ,AMGN,031162100,AMGEN INC,92.00,210.650000,19379.80,0.76%,2534910.00,100000,4,
03/09/2020,ECOZ,AMZN,023135106,AMAZON COM INC,24.00,1901.090000,45626.16,1.80%,2534910.00,100000,4,
03/09/2020,ECOZ,AVB,053484101,AVALONBAY CMNTYS INC,84.00,209.060000,17561.04,0.69%,2534910.00,100000,4,
03/09/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,220.00,108.240000,23812.80,0.94%,2534910.00,100000,4,
03/09/2020,ECOZ,BAX,071813109,BAXTER INTL INC,516.00,85.380000,44056.08,1.74%,2534910.00,100000,4,
03/09/2020,ECOZ,BKNG,09857L108,BOOKING HLDGS INC,28.00,1612.090000,45138.52,1.78%,2534910.00,100000,4,
03/09/2020,ECOZ,BLK,09247X101,BLACKROCK INC,68.00,450.410000,30627.88,1.21%,2534910.00,100000,4,
03/09/2020,ECOZ,BLL,058498106,BALL CORP,344.00,76.050000,26161.20,1.03%,2534910.00,100000,4,
03/09/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,524.00,60.310000,31602.44,1.25%,2534910.00,100000,4,
03/09/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,232.00,96.090000,22292.88,0.88%,2534910.00,100000,4,
03/09/2020,ECOZ,CBOE,12503M108,CBOE GLOBAL MARKETS INC,368.00,116.770000,42971.36,1.70%,2534910.00,100000,4,
03/09/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,440.00,54.580000,24015.20,0.95%,2534910.00,100000,4,
03/09/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,356.00,72.510000,25813.56,1.02%,2534910.00,100000,4,
03/09/2020,ECOZ,CLX,189054109,CLOROX CO DEL,148.00,173.260000,25642.48,1.01%,2534910.00,100000,4,
03/09/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,104.00,311.340000,32379.36,1.28%,2534910.00,100000,4,
03/09/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,144.00,164.080000,23627.52,0.93%,2534910.00,100000,4,
03/09/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,364.00,117.910000,42919.24,1.69%,2534910.00,100000,4,
03/09/2020,ECOZ,DIS,254687106,DISNEY WALT CO,420.00,115.270000,48413.40,1.91%,2534910.00,100000,4,
03/09/2020,ECOZ,EA,285512109,ELECTRONIC ARTS INC,364.00,107.670000,39191.88,1.55%,2534910.00,100000,4,
03/09/2020,ECOZ,EIX,281020107,EDISON INTL,444.00,67.590000,30009.96,1.18%,2534910.00,100000,4,
03/09/2020,ECOZ,ES,30040W108,EVERSOURCE ENERGY,416.00,96.360000,40085.76,1.58%,2534910.00,100000,4,
03/09/2020,ECOZ,EXC,30161N101,EXELON CORP,276.00,45.170000,12466.92,0.49%,2534910.00,100000,4,
03/09/2020,ECOZ,GILD,375558103,GILEAD SCIENCES INC,172.00,80.220000,13797.84,0.54%,2534910.00,100000,4,
03/09/2020,ECOZ,GOOGL,02079K305,ALPHABET INC,56.00,1295.740000,72561.44,2.86%,2534910.00,100000,4,
03/09/2020,ECOZ,GS,38141G104,GOLDMAN SACHS GROUP INC,108.00,192.850000,20827.80,0.82%,2534910.00,100000,4,
03/09/2020,ECOZ,GWW,384802104,GRAINGER W W INC,176.00,284.630000,50094.88,1.98%,2534910.00,100000,4,
03/09/2020,ECOZ,HSY,427866108,HERSHEY CO,80.00,156.290000,12503.20,0.49%,2534910.00,100000,4,
