Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
06/24/2020,ECOZ,AAPL,037833100,APPLE INC,392.00,366.530000,143679.76,3.00%,4788752.50,175000,7,
06/24/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,511.00,97.310000,49725.41,1.04%,4788752.50,175000,7,
06/24/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,630.00,101.500000,63945.00,1.34%,4788752.50,175000,7,
06/24/2020,ECOZ,ABT,002824100,ABBOTT LABS,1114.00,91.300000,101708.20,2.12%,4788752.50,175000,7,
06/24/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,175.00,207.400000,36295.00,0.76%,4788752.50,175000,7,
06/24/2020,ECOZ,ADBE,00724F101,ADOBE INC,213.00,440.550000,93837.15,1.96%,4788752.50,175000,7,
06/24/2020,ECOZ,ALL,020002101,ALLSTATE CORP,497.00,96.660000,48040.02,1.00%,4788752.50,175000,7,
06/24/2020,ECOZ,AMGN,031162100,AMGEN INC,161.00,235.750000,37955.75,0.79%,4788752.50,175000,7,
06/24/2020,ECOZ,AMZN,023135106,AMAZON COM INC,56.00,2764.410000,154806.96,3.23%,4788752.50,175000,7,
06/24/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,556.00,99.420000,55277.52,1.15%,4788752.50,175000,7,
06/24/2020,ECOZ,BAX,071813109,BAXTER INTL INC,903.00,83.490000,75391.47,1.57%,4788752.50,175000,7,
06/24/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,38.00,1677.100000,63729.80,1.33%,4788752.50,175000,7,
06/24/2020,ECOZ,BLK,09247X101,BLACKROCK INC,119.00,554.650000,66003.35,1.38%,4788752.50,175000,7,
06/24/2020,ECOZ,BLL,058498106,BALL CORP,602.00,70.570000,42483.14,0.89%,4788752.50,175000,7,
06/24/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,759.00,58.380000,44310.42,0.93%,4788752.50,175000,7,
06/24/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,528.00,152.790000,80673.12,1.68%,4788752.50,175000,7,
06/24/2020,ECOZ,CBOE,12503M108,CBOE GLOBAL MARKETS INC,669.00,95.760000,64063.44,1.34%,4788752.50,175000,7,
06/24/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,770.00,46.010000,35427.70,0.74%,4788752.50,175000,7,
06/24/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,623.00,72.920000,45429.16,0.95%,4788752.50,175000,7,
06/24/2020,ECOZ,CLX,189054109,CLOROX CO DEL,352.00,213.380000,75109.76,1.57%,4788752.50,175000,7,
06/24/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,274.00,301.290000,82553.46,1.72%,4788752.50,175000,7,
06/24/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,252.00,189.060000,47643.12,0.99%,4788752.50,175000,7,
06/24/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,637.00,142.720000,90912.64,1.90%,4788752.50,175000,7,
06/24/2020,ECOZ,DIS,254687106,DISNEY WALT CO,735.00,116.590000,85693.65,1.79%,4788752.50,175000,7,
06/24/2020,ECOZ,EA,285512109,ELECTRONIC ARTS INC,637.00,130.600000,83192.20,1.74%,4788752.50,175000,7,
06/24/2020,ECOZ,EIX,281020107,EDISON INTL,777.00,55.770000,43333.29,0.90%,4788752.50,175000,7,
06/24/2020,ECOZ,ENPH,29355A107,ENPHASE ENERGY INC,1463.00,45.490000,66551.87,1.39%,4788752.50,175000,7,
06/24/2020,ECOZ,ES,30040W108,EVERSOURCE ENERGY,728.00,83.390000,60707.92,1.27%,4788752.50,175000,7,
06/24/2020,ECOZ,GILD,375558103,GILEAD SCIENCES INC,526.00,75.050000,39476.30,0.82%,4788752.50,175000,7,
06/24/2020,ECOZ,GOOGL,02079K305,ALPHABET INC,98.00,1463.980000,143470.04,3.00%,4788752.50,175000,7,
06/24/2020,ECOZ,GS,38141G104,GOLDMAN SACHS GROUP INC,189.00,204.780000,38703.42,0.81%,4788752.50,175000,7,
06/24/2020,ECOZ,GWW,384802104,GRAINGER W W INC,308.00,301.480000,92855.84,1.94%,4788752.50,175000,7,
06/24/2020,ECOZ,HD,437076102,HOME DEPOT INC,205.00,250.310000,51313.55,1.07%,4788752.50,175000,7,
06/24/2020,ECOZ,IFF,459506101,INTERNATIONAL FLAVORS&FRAGRANC COM,532.00,122.560000,65201.92,1.36%,4788752.50,175000,7,
06/24/2020,ECOZ,INTU,461202103,INTUIT,161.00,293.830000,47306.63,0.99%,4788752.50,175000,7,
06/24/2020,ECOZ,IRM,46284V101,IRON MTN INC NEW,918.00,26.100000,23959.80,0.50%,4788752.50,175000,7,
06/24/2020,ECOZ,ITW,452308109,ILLINOIS TOOL WKS INC,189.00,172.570000,32615.73,0.68%,4788752.50,175000,7,
06/24/2020,ECOZ,JNJ,478160104,JOHNSON & JOHNSON,231.00,142.860000,33000.66,0.69%,4788752.50,175000,7,
06/24/2020,ECOZ,JPM,46625H100,JPMORGAN CHASE & CO.,798.00,97.930000,78148.14,1.63%,4788752.50,175000,7,
06/24/2020,ECOZ,LRCX,512807108,LAM RESEARCH CORP,224.00,315.980000,70779.52,1.48%,4788752.50,175000,7,
06/24/2020,ECOZ,MA,57636Q104,MASTERCARD INCORPORATED,315.00,306.880000,96667.20,2.02%,4788752.50,175000,7,
06/24/2020,ECOZ,MCO,615369105,MOODYS CORP,245.00,277.030000,67872.35,1.42%,4788752.50,175000,7,
06/24/2020,ECOZ,MRK,58933Y105,MERCK & CO. INC,560.00,77.120000,43187.20,0.90%,4788752.50,175000,7,
06/24/2020,ECOZ,MSCI,55354G100,MSCI INC,232.00,334.820000,77678.24,1.62%,4788752.50,175000,7,
06/24/2020,ECOZ,MSFT,594918104,MICROSOFT CORP,826.00,201.910000,166777.66,3.48%,4788752.50,175000,7,
06/24/2020,ECOZ,MSI,620076307,MOTOROLA SOLUTIONS INC,231.00,141.030000,32577.93,0.68%,4788752.50,175000,7,
06/24/2020,ECOZ,NFLX,64110L106,NETFLIX INC,175.00,466.260000,81595.50,1.70%,4788752.50,175000,7,
06/24/2020,ECOZ,NKE,654106103,NIKE INC,490.00,101.920000,49940.80,1.04%,4788752.50,175000,7,
06/24/2020,ECOZ,NVDA,67066G104,NVIDIA CORPORATION,210.00,378.000000,79380.00,1.66%,4788752.50,175000,7,
06/24/2020,ECOZ,PEP,713448108,PEPSICO INC,560.00,131.360000,73561.60,1.54%,4788752.50,175000,7,
06/24/2020,ECOZ,PLD,74340W103,PROLOGIS INC.,714.00,91.450000,65295.30,1.36%,4788752.50,175000,7,
06/24/2020,ECOZ,PYPL,70450Y103,PAYPAL HLDGS INC,301.00,172.790000,52009.79,1.09%,4788752.50,175000,7,
06/24/2020,ECOZ,QCOM,747525103,QUALCOMM INC,574.00,89.350000,51286.90,1.07%,4788752.50,175000,7,
06/24/2020,ECOZ,REGN,75886F107,REGENERON PHARMACEUTICALS,135.00,628.760000,84882.60,1.77%,4788752.50,175000,7,
