Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
05/19/2020,ECOZ,AAPL,037833100,APPLE INC,224.00,314.960000,70551.04,2.72%,2598040.00,100000,4,
05/19/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,292.00,91.470000,26709.24,1.03%,2598040.00,100000,4,
05/19/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,360.00,89.200000,32112.00,1.24%,2598040.00,100000,4,
05/19/2020,ECOZ,ABT,002824100,ABBOTT LABS,637.00,90.270000,57501.99,2.21%,2598040.00,100000,4,
05/19/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,100.00,192.750000,19275.00,0.74%,2598040.00,100000,4,
05/19/2020,ECOZ,ADBE,00724F101,ADOBE INC,123.00,367.970000,45260.31,1.74%,2598040.00,100000,4,
05/19/2020,ECOZ,ALL,020002101,ALLSTATE CORP,284.00,99.040000,28127.36,1.08%,2598040.00,100000,4,
05/19/2020,ECOZ,AMGN,031162100,AMGEN INC,92.00,233.190000,21453.48,0.83%,2598040.00,100000,4,
05/19/2020,ECOZ,AMZN,023135106,AMAZON COM INC,32.00,2426.260000,77640.32,2.99%,2598040.00,100000,4,
05/19/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,220.00,88.410000,19450.20,0.75%,2598040.00,100000,4,
05/19/2020,ECOZ,BAX,071813109,BAXTER INTL INC,516.00,86.820000,44799.12,1.72%,2598040.00,100000,4,
05/19/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,17.00,1557.430000,26476.31,1.02%,2598040.00,100000,4,
05/19/2020,ECOZ,BLK,09247X101,BLACKROCK INC,68.00,516.430000,35117.24,1.35%,2598040.00,100000,4,
05/19/2020,ECOZ,BLL,058498106,BALL CORP,344.00,64.350000,22136.40,0.85%,2598040.00,100000,4,
05/19/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,524.00,63.600000,33326.40,1.28%,2598040.00,100000,4,
05/19/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,303.00,130.030000,39399.09,1.52%,2598040.00,100000,4,
05/19/2020,ECOZ,CBOE,12503M108,CBOE GLOBAL MARKETS INC,433.00,102.760000,44495.08,1.71%,2598040.00,100000,4,
05/19/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,440.00,39.090000,17199.60,0.66%,2598040.00,100000,4,
05/19/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,356.00,70.220000,24998.32,0.96%,2598040.00,100000,4,
05/19/2020,ECOZ,CLX,189054109,CLOROX CO DEL,202.00,203.950000,41197.90,1.59%,2598040.00,100000,4,
05/19/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,157.00,302.760000,47533.32,1.83%,2598040.00,100000,4,
05/19/2020,ECOZ,CPB,134429109,CAMPBELL SOUP CO,197.00,50.940000,10035.18,0.39%,2598040.00,100000,4,
05/19/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,144.00,172.500000,24840.00,0.96%,2598040.00,100000,4,
05/19/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,364.00,139.890000,50919.96,1.96%,2598040.00,100000,4,
05/19/2020,ECOZ,DIS,254687106,DISNEY WALT CO,420.00,116.850000,49077.00,1.89%,2598040.00,100000,4,
05/19/2020,ECOZ,EA,285512109,ELECTRONIC ARTS INC,364.00,117.120000,42631.68,1.64%,2598040.00,100000,4,
05/19/2020,ECOZ,EIX,281020107,EDISON INTL,444.00,57.180000,25387.92,0.98%,2598040.00,100000,4,
05/19/2020,ECOZ,ENPH,29355A107,ENPHASE ENERGY INC,836.00,64.420000,53855.12,2.07%,2598040.00,100000,4,
05/19/2020,ECOZ,ES,30040W108,EVERSOURCE ENERGY,416.00,79.232500,32960.72,1.27%,2598040.00,100000,4,
05/19/2020,ECOZ,GILD,375558103,GILEAD SCIENCES INC,301.00,74.760000,22502.76,0.87%,2598040.00,100000,4,
05/19/2020,ECOZ,GOOGL,02079K305,ALPHABET INC,56.00,1385.180000,77570.08,2.99%,2598040.00,100000,4,
05/19/2020,ECOZ,GS,38141G104,GOLDMAN SACHS GROUP INC,108.00,181.880000,19643.04,0.76%,2598040.00,100000,4,
05/19/2020,ECOZ,GWW,384802104,GRAINGER W W INC,176.00,290.920000,51201.92,1.97%,2598040.00,100000,4,
05/19/2020,ECOZ,HD,437076102,HOME DEPOT INC,118.00,245.350000,28951.30,1.11%,2598040.00,100000,4,
05/19/2020,ECOZ,IFF,459506101,INTERNATIONAL FLAVORS&FRAGRANC COM,304.00,131.900000,40097.60,1.54%,2598040.00,100000,4,
05/19/2020,ECOZ,INTU,461202103,INTUIT,92.00,290.370000,26714.04,1.03%,2598040.00,100000,4,
05/19/2020,ECOZ,IRM,46284V101,IRON MTN INC NEW,525.00,23.670000,12426.75,0.48%,2598040.00,100000,4,
05/19/2020,ECOZ,ITW,452308109,ILLINOIS TOOL WKS INC,108.00,164.710000,17788.68,0.68%,2598040.00,100000,4,
05/19/2020,ECOZ,JNJ,478160104,JOHNSON & JOHNSON,132.00,150.520000,19868.64,0.76%,2598040.00,100000,4,
05/19/2020,ECOZ,JPM,46625H100,JPMORGAN CHASE & CO.,358.00,90.450000,32381.10,1.25%,2598040.00,100000,4,
05/19/2020,ECOZ,LRCX,512807108,LAM RESEARCH CORP,128.00,257.470000,32956.16,1.27%,2598040.00,100000,4,
05/19/2020,ECOZ,MA,57636Q104,MASTERCARD INCORPORATED,180.00,289.900000,52182.00,2.01%,2598040.00,100000,4,
05/19/2020,ECOZ,MCO,615369105,MOODYS CORP,140.00,259.250000,36295.00,1.40%,2598040.00,100000,4,
05/19/2020,ECOZ,MRK,58933Y105,MERCK & CO. INC,320.00,79.720000,25510.40,0.98%,2598040.00,100000,4,
05/19/2020,ECOZ,MSCI,55354G100,MSCI INC,150.00,346.750000,52012.50,2.00%,2598040.00,100000,4,
05/19/2020,ECOZ,MSFT,594918104,MICROSOFT CORP,472.00,184.910000,87277.52,3.36%,2598040.00,100000,4,
05/19/2020,ECOZ,MSI,620076307,MOTOROLA SOLUTIONS INC,132.00,135.520000,17888.64,0.69%,2598040.00,100000,4,
05/19/2020,ECOZ,NFLX,64110L106,NETFLIX INC,100.00,452.580000,45258.00,1.74%,2598040.00,100000,4,
05/19/2020,ECOZ,NKE,654106103,NIKE INC,280.00,91.040000,25491.20,0.98%,2598040.00,100000,4,
05/19/2020,ECOZ,NVDA,67066G104,NVIDIA CORPORATION,120.00,350.010000,42001.20,1.62%,2598040.00,100000,4,
05/19/2020,ECOZ,PEP,713448108,PEPSICO INC,320.00,135.520000,43366.40,1.67%,2598040.00,100000,4,
05/19/2020,ECOZ,PLD,74340W103,PROLOGIS INC.,408.00,86.830000,35426.64,1.36%,2598040.00,100000,4,
05/19/2020,ECOZ,PYPL,70450Y103,PAYPAL HLDGS INC,172.00,146.240000,25153.28,0.97%,2598040.00,100000,4,
05/19/2020,ECOZ,QCOM,747525103,QUALCOMM INC,328.00,79.940000,26220.32,1.01%,2598040.00,100000,4,
05/19/2020,ECOZ,REGN,75886F107,REGENERON PHARMACEUTICALS,78.00,560.280000,43701.84,1.68%,2598040.00,100000,4,
05/19/2020,ECOZ,ROK,773903109,ROCKWELL AUTOMATION INC,132.00,205.170000,27082.44,1.04%,2598040.00,100000,4,
05/19/2020,ECOZ,SBUX,855244109,STARBUCKS CORP,476.00,76.230000,36285.48,1.40%,2598040.00,100000,4,
05/19/2020,ECOZ,SJM,832696405,SMUCKER J M CO,153.00,114.000000,17442.00,0.67%,2598040.00,100000,4,
05/19/2020,ECOZ,SPGI,78409V104,S&P Global Inc,116.00,311.630000,36149.08,1.39%,2598040.00,100000,4,
05/19/2020,ECOZ,SQ,852234103,SQUARE INC,619.00,76.630000,47433.97,1.83%,2598040.00,100000,4,
05/19/2020,ECOZ,SYY,871829107,SYSCO CORP,351.00,52.700000,18497.70,0.71%,2598040.00,100000,4,
05/19/2020,ECOZ,TGT,87612E106,TARGET CORP,192.00,124.540000,23911.68,0.92%,2598040.00,100000,4,
05/19/2020,ECOZ,TSCO,892356106,TRACTOR SUPPLY CO,248.00,109.760000,27220.48,1.05%,2598040.00,100000,4,
05/19/2020,ECOZ,TSLA,88160R101,TESLA INC,36.00,813.630000,29290.68,1.13%,2598040.00,100000,4,
05/19/2020,ECOZ,UBER,90353T100,UBER TECHNOLOGIES INC,622.00,33.620000,20911.64,0.80%,2598040.00,100000,4,
