Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Structured Outcome September ETF,SEPZ,53656F714,5088825.18,200000.000,25.44,0.44,1.78,25.48,0.45,1.80,0.14,09/02/2020,0.12
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,13106256.11,325000.000,40.33,-0.05,-0.13,40.39,-0.03,-0.09,0.15,09/02/2020,0.27
TrueShares Structured Outcome July ETF,JULZ,53656F664,6291000.27,225000.000,27.96,0.34,1.23,28.00,0.44,1.59,0.13,09/02/2020,0.40
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,5620978.84,175000.000,32.12,0.37,1.16,32.14,0.42,1.33,0.06,09/02/2020,0.10
TrueShares Structured Outcome August ETF,AUGZ,53656F722,10005730.75,375000.000,26.68,0.31,1.19,26.68,0.37,1.39,0.01,09/02/2020,0.39
