Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
10/21/2020,AUGZ,2SPY  210730C00328670,2SPY  210730C00328670,SPY 7/30/2021 328.67 C,205.00,35.969095,737366.45,8.76%,8417467.50,325000,13,
10/21/2020,AUGZ,2SPY  210730P00295800,2SPY  210730P00295800,SPY 7/30/2021 295.80 P,-274.00,15.389571,-421674.25,-5.01%,8417467.50,325000,13,
10/21/2020,AUGZ,912796UC1,912796UC1,UNITED STATES TREAS BILLS,8113000.00,99.974562,8110936.22,96.36%,8417467.50,325000,13,
10/21/2020,AUGZ,Cash&Other,Cash&Other,Cash & Other,-9342.66,1.000000,-9342.66,-0.11%,8417467.50,325000,13,Y
10/21/2020,ECOZ,AAPL,037833100,APPLE INC,1383.00,117.510000,162516.33,2.53%,6420140.00,200000,8,
10/21/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,377.00,84.250000,31762.25,0.49%,6420140.00,200000,8,
10/21/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,889.00,97.990000,87113.11,1.36%,6420140.00,200000,8,
10/21/2020,ECOZ,ABT,002824100,ABBOTT LABS,1273.00,108.360000,137942.28,2.15%,6420140.00,200000,8,
10/21/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,143.00,230.390000,32945.77,0.51%,6420140.00,200000,8,
10/21/2020,ECOZ,ADBE,00724F101,ADOBE SYSTEMS INCORPORATED,243.00,494.580000,120182.94,1.87%,6420140.00,200000,8,
10/21/2020,ECOZ,ALL,020002101,ALLSTATE CORP,283.00,91.080000,25775.64,0.40%,6420140.00,200000,8,
10/21/2020,ECOZ,AMGN,031162100,AMGEN INC,184.00,231.100000,42522.40,0.66%,6420140.00,200000,8,
10/21/2020,ECOZ,AMZN,023135106,AMAZON COM INC,64.00,3217.010000,205888.64,3.21%,6420140.00,200000,8,
10/21/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,453.00,103.140000,46722.42,0.73%,6420140.00,200000,8,
10/21/2020,ECOZ,BAX,071813109,BAXTER INTL INC,681.00,81.140000,55256.34,0.86%,6420140.00,200000,8,
10/21/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,43.00,1671.710000,71883.53,1.12%,6420140.00,200000,8,
10/21/2020,ECOZ,BLK,09247X101,BLACKROCK INC,136.00,645.070000,87729.52,1.37%,6420140.00,200000,8,
10/21/2020,ECOZ,BLL,058498106,BALL CORP,529.00,91.390000,48345.31,0.75%,6420140.00,200000,8,
10/21/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,619.00,60.640000,37536.16,0.58%,6420140.00,200000,8,
10/21/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,722.00,176.290000,127281.38,1.98%,6420140.00,200000,8,
10/21/2020,ECOZ,CAH,14149Y108,CARDINAL HEALTH INC,510.00,47.710000,24332.10,0.38%,6420140.00,200000,8,
10/21/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,381.00,47.900000,18249.90,0.28%,6420140.00,200000,8,
