Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,8415545.12,250000.000,33.66,0.82,2.50,33.70,0.84,2.57,0.13,06/30/2020,0.37
TrueShares Structured Outcome July ETF,JULZ,53656F664,25.00,1.000,25.00,,,25.00,,,0.00,06/30/2020,
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,4771700.75,175000.000,27.27,0.48,1.78,27.31,0.55,2.06,0.18,06/30/2020,0.37
