Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,5606174.16,175000.000,32.04,-0.07,-0.22,32.16,-0.03,-0.08,0.39,06/02/2020,0.39
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,3364873.94,125000.000,26.92,0.12,0.43,27.04,0.22,0.81,0.46,06/02/2020,0.28
