Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,5521573.59,175000.000,31.55,1.46,4.86,31.59,1.23,4.05,0.13,05/29/2020,0.50
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,2669633.82,100000.000,26.70,0.37,1.39,26.71,0.36,1.35,0.06,05/29/2020,0.31
