Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueMark Technology AI & Deep Learning ETF,LRNZ,53656F821,2071543.52,100000.000,20.72,1.16,5.93,20.91,1.37,7.00,0.95,03/19/2020,0.67
TrueMark ESG Active Opportunities ETF,ECOZ,53656F813,2099808.51,100000.000,21.00,0.07,0.35,21.04,0.23,1.11,0.19,03/19/2020,0.71
