Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
11/18/2020,AUGZ,2SPY  210730C00328670,2SPY  210730C00328670,SPY 7/30/2021 328.67 C,205.00,45.396439,930627.00,10.63%,8758490.00,325000,13,
11/18/2020,AUGZ,2SPY  210730P00295800,2SPY  210730P00295800,SPY 7/30/2021 295.80 P,-274.00,9.842629,-269688.03,-3.08%,8758490.00,325000,13,
11/18/2020,AUGZ,912796UC1,912796UC1,UNITED STATES TREAS BILLS,8107000.00,99.985208,8105800.81,92.55%,8758490.00,325000,13,
11/18/2020,AUGZ,Cash&Other,Cash&Other,Cash & Other,-8438.80,1.000000,-8438.80,-0.10%,8758490.00,325000,13,Y
11/18/2020,ECOZ,AAPL,037833100,APPLE INC,1383.00,119.390000,165116.37,2.52%,6543440.00,200000,8,
11/18/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,377.00,99.210000,37402.17,0.57%,6543440.00,200000,8,
11/18/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,889.00,104.890000,93247.21,1.43%,6543440.00,200000,8,
11/18/2020,ECOZ,ABT,002824100,ABBOTT LABS,1273.00,113.060000,143925.38,2.20%,6543440.00,200000,8,
11/18/2020,ECOZ,ADBE,00724F101,ADOBE SYSTEMS INCORPORATED,243.00,467.950000,113711.85,1.74%,6543440.00,200000,8,
11/18/2020,ECOZ,ALL,020002101,ALLSTATE CORP,283.00,99.370000,28121.71,0.43%,6543440.00,200000,8,
11/18/2020,ECOZ,AMD,007903107,ADVANCED MICRO DEVICES INC,801.00,83.360000,66771.36,1.02%,6543440.00,200000,8,
11/18/2020,ECOZ,AMGN,031162100,AMGEN INC,184.00,232.440000,42768.96,0.65%,6543440.00,200000,8,
11/18/2020,ECOZ,AMZN,023135106,AMAZON COM INC,64.00,3135.660000,200682.24,3.07%,6543440.00,200000,8,
11/18/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,453.00,116.480000,52765.44,0.81%,6543440.00,200000,8,
11/18/2020,ECOZ,BAX,071813109,BAXTER INTL INC,681.00,80.780000,55011.18,0.84%,6543440.00,200000,8,
11/18/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,43.00,2081.250000,89493.75,1.37%,6543440.00,200000,8,
11/18/2020,ECOZ,BLK,09247X101,BLACKROCK INC,136.00,667.490000,90778.64,1.39%,6543440.00,200000,8,
11/18/2020,ECOZ,BLL,058498106,BALL CORP,529.00,97.140000,51387.06,0.79%,6543440.00,200000,8,
11/18/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,619.00,64.320000,39814.08,0.61%,6543440.00,200000,8,
11/18/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,722.00,129.900000,93787.80,1.43%,6543440.00,200000,8,
11/18/2020,ECOZ,CAH,14149Y108,CARDINAL HEALTH INC,510.00,54.680000,27886.80,0.43%,6543440.00,200000,8,
11/18/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,712.00,85.350000,60769.20,0.93%,6543440.00,200000,8,
11/18/2020,ECOZ,CLX,189054109,CLOROX CO DEL,224.00,209.100000,46838.40,0.72%,6543440.00,200000,8,
11/18/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,313.00,381.920000,119540.96,1.83%,6543440.00,200000,8,
11/18/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,288.00,256.170000,73776.96,1.13%,6543440.00,200000,8,
11/18/2020,ECOZ,DIS,254687106,DISNEY WALT CO,1077.00,144.500000,155626.50,2.38%,6543440.00,200000,8,
11/18/2020,ECOZ,EA,285512109,ELECTRONIC ARTS INC,798.00,118.520000,94578.96,1.45%,6543440.00,200000,8,
11/18/2020,ECOZ,ENPH,29355A107,ENPHASE ENERGY INC,2006.00,125.120000,250990.72,3.84%,6543440.00,200000,8,
11/18/2020,ECOZ,ES,30040W108,EVERSOURCE ENERGY,832.00,91.750000,76336.00,1.17%,6543440.00,200000,8,
11/18/2020,ECOZ,EXPD,302130109,EXPEDITORS INTL WASH INC,515.00,89.900000,46298.50,0.71%,6543440.00,200000,8,
11/18/2020,ECOZ,GILD,375558103,GILEAD SCIENCES INC,601.00,60.970000,36642.97,0.56%,6543440.00,200000,8,
11/18/2020,ECOZ,GOOGL,02079K305,ALPHABET INC,99.00,1761.660000,174404.34,2.67%,6543440.00,200000,8,
11/18/2020,ECOZ,GWW,384802104,GRAINGER W W INC,309.00,410.460000,126832.14,1.94%,6543440.00,200000,8,
11/18/2020,ECOZ,HD,437076102,HOME DEPOT INC,234.00,272.470000,63757.98,0.97%,6543440.00,200000,8,
11/18/2020,ECOZ,IFF,459506101,INTERNATIONAL FLAVORS&FRAGRANC COM,435.00,114.510000,49811.85,0.76%,6543440.00,200000,8,
11/18/2020,ECOZ,INTU,461202103,INTUIT,184.00,358.750000,66010.00,1.01%,6543440.00,200000,8,
11/18/2020,ECOZ,IRM,46284V101,IRON MTN INC NEW,1049.00,25.900000,27169.10,0.42%,6543440.00,200000,8,
11/18/2020,ECOZ,ITW,452308109,ILLINOIS TOOL WKS INC,216.00,209.870000,45331.92,0.69%,6543440.00,200000,8,
11/18/2020,ECOZ,JNJ,478160104,JOHNSON & JOHNSON,264.00,149.350000,39428.40,0.60%,6543440.00,200000,8,
11/18/2020,ECOZ,JPM,46625H100,JPMORGAN CHASE & CO.,912.00,116.110000,105892.32,1.62%,6543440.00,200000,8,
11/18/2020,ECOZ,LRCX,512807108,LAM RESEARCH CORP,194.00,431.930000,83794.42,1.28%,6543440.00,200000,8,
11/18/2020,ECOZ,MA,57636Q104,MASTERCARD INCORPORATED,360.00,336.500000,121140.00,1.85%,6543440.00,200000,8,
11/18/2020,ECOZ,MCO,615369105,MOODYS CORP,280.00,274.690000,76913.20,1.18%,6543440.00,200000,8,
11/18/2020,ECOZ,MRK,58933Y105,MERCK & CO. INC,449.00,81.500000,36593.50,0.56%,6543440.00,200000,8,
11/18/2020,ECOZ,MSCI,55354G100,MSCI INC,265.00,403.640000,106964.60,1.63%,6543440.00,200000,8,
11/18/2020,ECOZ,MSFT,594918104,MICROSOFT CORP,944.00,213.900000,201921.60,3.09%,6543440.00,200000,8,
11/18/2020,ECOZ,NDAQ,631103108,NASDAQ INC,227.00,124.330000,28222.91,0.43%,6543440.00,200000,8,
11/18/2020,ECOZ,NFLX,64110L106,NETFLIX INC,200.00,480.630000,96126.00,1.47%,6543440.00,200000,8,
11/18/2020,ECOZ,NKE,654106103,NIKE INC,1016.00,132.210000,134325.36,2.05%,6543440.00,200000,8,
11/18/2020,ECOZ,NVDA,67066G104,NVIDIA CORPORATION,240.00,536.890000,128853.60,1.97%,6543440.00,200000,8,
11/18/2020,ECOZ,PEP,713448108,PEPSICO INC,640.00,145.240000,92953.60,1.42%,6543440.00,200000,8,
11/18/2020,ECOZ,PLD,74340W103,PROLOGIS INC.,993.00,104.200000,103470.60,1.58%,6543440.00,200000,8,
11/18/2020,ECOZ,PYPL,70450Y103,PAYPAL HLDGS INC,438.00,192.300000,84227.40,1.29%,6543440.00,200000,8,
11/18/2020,ECOZ,QCOM,747525103,QUALCOMM INC,656.00,148.740000,97573.44,1.49%,6543440.00,200000,8,
11/18/2020,ECOZ,REGN,75886F107,REGENERON PHARMACEUTICALS,154.00,538.150000,82875.10,1.27%,6543440.00,200000,8,
11/18/2020,ECOZ,ROK,773903109,ROCKWELL AUTOMATION INC,572.00,241.320000,138035.04,2.11%,6543440.00,200000,8,
11/18/2020,ECOZ,SBUX,855244109,STARBUCKS CORP,1264.00,98.600000,124630.40,1.90%,6543440.00,200000,8,
11/18/2020,ECOZ,SEDG,83417M104,SOLAREDGE TECHNOLOGIES INC,344.00,233.180000,80213.92,1.23%,6543440.00,200000,8,
11/18/2020,ECOZ,SPGI,78409V104,S&P Global Inc,232.00,336.660000,78105.12,1.19%,6543440.00,200000,8,
11/18/2020,ECOZ,SQ,852234103,SQUARE INC,1235.00,187.900000,232056.50,3.55%,6543440.00,200000,8,
11/18/2020,ECOZ,SYY,871829107,SYSCO CORP,1324.00,74.230000,98280.52,1.50%,6543440.00,200000,8,
11/18/2020,ECOZ,TDOC,87918A105,TELADOC HEALTH INC,346.00,179.340000,62051.64,0.95%,6543440.00,200000,8,
11/18/2020,ECOZ,TGT,87612E106,TARGET CORP,384.00,163.040000,62607.36,0.96%,6543440.00,200000,8,
11/18/2020,ECOZ,TSCO,892356106,TRACTOR SUPPLY CO,235.00,131.680000,30944.80,0.47%,6543440.00,200000,8,
11/18/2020,ECOZ,TSLA,88160R101,TESLA INC,403.00,441.610000,177968.83,2.72%,6543440.00,200000,8,
11/18/2020,ECOZ,TWTR,90184L102,TWITTER INC,2867.00,42.850000,122850.95,1.88%,6543440.00,200000,8,
11/18/2020,ECOZ,UBER,90353T100,UBER TECHNOLOGIES INC,3043.00,48.890000,148772.27,2.27%,6543440.00,200000,8,
11/18/2020,ECOZ,UNH,91324P102,UNITEDHEALTH GROUP INC,219.00,352.100000,77109.90,1.18%,6543440.00,200000,8,
11/18/2020,ECOZ,UNP,907818108,UNION PAC CORP,153.00,205.850000,31495.05,0.48%,6543440.00,200000,8,
11/18/2020,ECOZ,UPS,911312106,UNITED PARCEL SERVICE INC,688.00,168.880000,116189.44,1.78%,6543440.00,200000,8,
11/18/2020,ECOZ,V,92826C839,VISA INC,248.00,210.710000,52256.08,0.80%,6543440.00,200000,8,
11/18/2020,ECOZ,VAR,92220P105,VARIAN MED SYS INC,216.00,173.620000,37501.92,0.57%,6543440.00,200000,8,
11/18/2020,ECOZ,VMW,928563402,VMWARE INC,283.00,146.090000,41343.47,0.63%,6543440.00,200000,8,
11/18/2020,ECOZ,VRSN,92343E102,VERISIGN INC,193.00,194.510000,37540.43,0.57%,6543440.00,200000,8,
11/18/2020,ECOZ,VZ,92343V104,VERIZON COMMUNICATIONS INC,1586.00,60.750000,96349.50,1.47%,6543440.00,200000,8,
11/18/2020,ECOZ,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC CL A,153.00,401.630000,61449.39,0.94%,6543440.00,200000,8,
11/18/2020,ECOZ,Cash&Other,Cash&Other,Cash & Other,106919.37,1.000000,106919.37,1.63%,6543440.00,200000,8,Y
11/18/2020,JULZ,2SPY  210630C00310500,2SPY  210630C00310500,SPY 06/30/2021 310.50 C,149.00,57.961341,863623.98,13.60%,6350242.50,225000,9,
11/18/2020,JULZ,2SPY  210630P00279450,2SPY  210630P00279450,SPY 06/30/2021 279.45 P,-199.00,6.408611,-127531.36,-2.01%,6350242.50,225000,9,
11/18/2020,JULZ,912796TY5,912796TY5,UNITED STATES TREAS BILLS,5620000.00,99.989250,5619395.85,88.49%,6350242.50,225000,9,
11/18/2020,JULZ,Cash&Other,Cash&Other,Cash & Other,-5383.04,1.000000,-5383.04,-0.08%,6350242.50,225000,9,Y
