Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,8580729.34,250000.000,34.32,0.66,1.96,34.28,0.58,1.72,-0.12,07/01/2020,0.38
TrueShares Structured Outcome July ETF,JULZ,53656F664,2500000.00,100000.000,25.00,0.00,0.00,25.08,0.08,0.30,0.30,07/01/2020,0.16
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,4824530.64,175000.000,27.57,0.30,1.11,27.60,0.29,1.05,0.12,07/01/2020,0.37
