Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
08/11/2020,AUGZ,2SPY  210730C00328670,2SPY  210730C00328670,SPY 7/30/2021 328.67 C,190.00,30.531369,580096.01,7.62%,7608720.00,300000,12,
08/11/2020,AUGZ,2SPY  210730P00295800,2SPY  210730P00295800,SPY 7/30/2021 295.80 P,-253.00,18.129142,-458667.29,-6.03%,7608720.00,300000,12,
08/11/2020,AUGZ,912796UC1,912796UC1,UNITED STATES TREAS BILLS,7496000.00,99.950417,7492283.26,98.47%,7608720.00,300000,12,
08/11/2020,AUGZ,Cash&Other,Cash&Other,Cash & Other,-5156.26,1.000000,-5156.26,-0.07%,7608720.00,300000,12,Y
08/11/2020,ECOZ,AAPL,037833100,APPLE INC,392.00,450.910000,176756.72,3.41%,5190780.00,175000,7,
08/11/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,511.00,92.380000,47206.18,0.91%,5190780.00,175000,7,
08/11/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,778.00,103.040000,80165.12,1.54%,5190780.00,175000,7,
08/11/2020,ECOZ,ABT,002824100,ABBOTT LABS,1114.00,100.040000,111444.56,2.15%,5190780.00,175000,7,
08/11/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,175.00,230.340000,40309.50,0.78%,5190780.00,175000,7,
08/11/2020,ECOZ,ADBE,00724F101,ADOBE SYSTEMS INCORPORATED,213.00,443.290000,94420.77,1.82%,5190780.00,175000,7,
08/11/2020,ECOZ,ALL,020002101,ALLSTATE CORP,248.00,97.250000,24118.00,0.46%,5190780.00,175000,7,
08/11/2020,ECOZ,AMGN,031162100,AMGEN INC,161.00,238.170000,38345.37,0.74%,5190780.00,175000,7,
08/11/2020,ECOZ,AMZN,023135106,AMAZON COM INC,56.00,3148.160000,176296.96,3.40%,5190780.00,175000,7,
08/11/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,397.00,101.620000,40343.14,0.78%,5190780.00,175000,7,
08/11/2020,ECOZ,BAX,071813109,BAXTER INTL INC,596.00,83.100000,49527.60,0.95%,5190780.00,175000,7,
08/11/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,38.00,1768.580000,67206.04,1.29%,5190780.00,175000,7,
08/11/2020,ECOZ,BLK,09247X101,BLACKROCK INC,119.00,580.200000,69043.80,1.33%,5190780.00,175000,7,
08/11/2020,ECOZ,BLL,058498106,BALL CORP,602.00,75.330000,45348.66,0.87%,5190780.00,175000,7,
