Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,11492751.34,325000.000,35.36,-0.32,-0.89,35.35,-0.34,-0.95,-0.02,08/10/2020,0.34
TrueShares Structured Outcome July ETF,JULZ,53656F664,5974803.32,225000.000,26.55,0.05,0.21,26.59,0.06,0.24,0.11,08/10/2020,0.39
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,5190775.89,175000.000,29.66,-0.15,-0.50,29.67,-0.15,-0.49,0.03,08/10/2020,0.52
TrueShares Structured Outcome August ETF,AUGZ,53656F722,7608726.55,300000.000,25.36,0.05,0.21,25.40,0.05,0.21,0.14,08/10/2020,0.39
