Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Structured Outcome September ETF,SEPZ,53656F714,12037629.05,475000.000,25.34,-0.03,-0.12,25.27,-0.06,-0.24,-0.28,11/10/2020,0.41
TrueShares Structured Outcome October ETF,OCTZ,53656F698,3893932.94,150000.000,25.96,-0.02,-0.07,25.93,-0.06,-0.24,-0.11,11/10/2020,0.43
TrueShares Structured Outcome November ETF,NVMZ,53656F680,2641214.68,100000.000,26.41,-0.03,-0.12,26.38,-0.06,-0.24,-0.13,11/10/2020,0.38
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,17681278.61,450000.000,39.29,-1.05,-2.60,39.23,-1.16,-2.87,-0.17,11/10/2020,0.33
TrueShares Structured Outcome July ETF,JULZ,53656F664,6256899.99,225000.000,27.81,-0.02,-0.09,27.80,-0.07,-0.26,-0.04,11/10/2020,0.51
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,6371357.93,200000.000,31.86,-0.52,-1.60,31.84,-0.60,-1.86,-0.07,11/10/2020,0.13
TrueShares Structured Outcome August ETF,AUGZ,53656F722,8635540.74,325000.000,26.57,0.00,0.00,26.52,-0.06,-0.24,-0.21,11/10/2020,0.43
