Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,6157110.55,200000.000,30.79,-1.57,-4.84,30.89,-1.50,-4.62,0.35,06/11/2020,0.40
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,3257155.37,125000.000,26.06,-1.46,-5.29,26.15,-1.46,-5.29,0.35,06/11/2020,0.28
