Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,5618616.63,175000.000,32.11,0.55,1.76,32.19,0.59,1.88,0.25,06/01/2020,0.39
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,2680390.35,100000.000,26.80,0.11,0.40,26.82,0.11,0.42,0.08,06/01/2020,0.28
