Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,9490853.54,275000.000,34.51,0.19,0.55,34.44,0.16,0.46,-0.21,07/02/2020,0.38
TrueShares Structured Outcome July ETF,JULZ,53656F664,3135557.46,125000.000,25.08,0.08,0.34,25.12,0.05,0.19,0.15,07/02/2020,0.28
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,4846920.22,175000.000,27.70,0.13,0.46,27.68,0.08,0.28,-0.07,07/02/2020,0.37
