Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
08/26/2020,AUGZ,2SPY  210730C00328670,2SPY  210730C00328670,SPY 7/30/2021 328.67 C,221.00,36.049195,796687.21,8.80%,9051105.00,350000,14,
08/26/2020,AUGZ,2SPY  210730P00295800,2SPY  210730P00295800,SPY 7/30/2021 295.80 P,-295.00,16.237794,-479014.92,-5.29%,9051105.00,350000,14,
08/26/2020,AUGZ,912796UC1,912796UC1,UNITED STATES TREAS BILLS,8740000.00,99.954792,8736048.82,96.52%,9051105.00,350000,14,
08/26/2020,AUGZ,Cash&Other,Cash&Other,Cash & Other,-2811.55,1.000000,-2811.55,-0.03%,9051105.00,350000,14,Y
08/26/2020,ECOZ,AAPL,037833100,APPLE INC,392.00,499.300000,195725.60,3.64%,5377890.00,175000,7,
08/26/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,511.00,94.060000,48064.66,0.89%,5377890.00,175000,7,
08/26/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,778.00,98.280000,76461.84,1.42%,5377890.00,175000,7,
08/26/2020,ECOZ,ABT,002824100,ABBOTT LABS,1114.00,102.470000,114151.58,2.12%,5377890.00,175000,7,
08/26/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,175.00,238.210000,41686.75,0.78%,5377890.00,175000,7,
08/26/2020,ECOZ,ADBE,00724F101,ADOBE SYSTEMS INCORPORATED,213.00,484.430000,103183.59,1.92%,5377890.00,175000,7,
08/26/2020,ECOZ,ALL,020002101,ALLSTATE CORP,248.00,93.770000,23254.96,0.43%,5377890.00,175000,7,
08/26/2020,ECOZ,AMGN,031162100,AMGEN INC,161.00,248.220000,39963.42,0.74%,5377890.00,175000,7,
08/26/2020,ECOZ,AMZN,023135106,AMAZON COM INC,56.00,3346.490000,187403.44,3.48%,5377890.00,175000,7,
08/26/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,397.00,99.050000,39322.85,0.73%,5377890.00,175000,7,
08/26/2020,ECOZ,BAX,071813109,BAXTER INTL INC,596.00,84.600000,50421.60,0.94%,5377890.00,175000,7,
08/26/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,38.00,1853.800000,70444.40,1.31%,5377890.00,175000,7,
08/26/2020,ECOZ,BLK,09247X101,BLACKROCK INC,119.00,591.150000,70346.85,1.31%,5377890.00,175000,7,
