Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
05/20/2020,ECOZ,AAPL,037833100,APPLE INC,224.00,313.140000,70143.36,2.72%,2579060.00,100000,4,
05/20/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,292.00,91.200000,26630.40,1.03%,2579060.00,100000,4,
05/20/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,360.00,89.630000,32266.80,1.25%,2579060.00,100000,4,
05/20/2020,ECOZ,ABT,002824100,ABBOTT LABS,637.00,88.220000,56196.14,2.18%,2579060.00,100000,4,
05/20/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,100.00,190.090000,19009.00,0.74%,2579060.00,100000,4,
05/20/2020,ECOZ,ADBE,00724F101,ADOBE INC,123.00,372.200000,45780.60,1.78%,2579060.00,100000,4,
05/20/2020,ECOZ,ALL,020002101,ALLSTATE CORP,284.00,97.270000,27624.68,1.07%,2579060.00,100000,4,
05/20/2020,ECOZ,AMGN,031162100,AMGEN INC,92.00,227.430000,20923.56,0.81%,2579060.00,100000,4,
05/20/2020,ECOZ,AMZN,023135106,AMAZON COM INC,32.00,2449.330000,78378.56,3.04%,2579060.00,100000,4,
05/20/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,220.00,87.260000,19197.20,0.74%,2579060.00,100000,4,
05/20/2020,ECOZ,BAX,071813109,BAXTER INTL INC,516.00,86.520000,44644.32,1.73%,2579060.00,100000,4,
05/20/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,17.00,1547.560000,26308.52,1.02%,2579060.00,100000,4,
05/20/2020,ECOZ,BLK,09247X101,BLACKROCK INC,68.00,501.200000,34081.60,1.32%,2579060.00,100000,4,
05/20/2020,ECOZ,BLL,058498106,BALL CORP,344.00,64.280000,22112.32,0.86%,2579060.00,100000,4,
05/20/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,524.00,62.710000,32860.04,1.27%,2579060.00,100000,4,
05/20/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,303.00,136.200000,41268.60,1.60%,2579060.00,100000,4,
05/20/2020,ECOZ,CBOE,12503M108,CBOE GLOBAL MARKETS INC,433.00,98.940000,42841.02,1.66%,2579060.00,100000,4,
05/20/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,440.00,37.970000,16706.80,0.65%,2579060.00,100000,4,
05/20/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,356.00,69.250000,24653.00,0.96%,2579060.00,100000,4,
05/20/2020,ECOZ,CLX,189054109,CLOROX CO DEL,202.00,201.720000,40747.44,1.58%,2579060.00,100000,4,
05/20/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,157.00,304.630000,47826.91,1.85%,2579060.00,100000,4,
05/20/2020,ECOZ,CPB,134429109,CAMPBELL SOUP CO,197.00,49.620000,9775.14,0.38%,2579060.00,100000,4,
05/20/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,144.00,176.040000,25349.76,0.98%,2579060.00,100000,4,
05/20/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,364.00,137.170000,49929.88,1.94%,2579060.00,100000,4,
05/20/2020,ECOZ,DIS,254687106,DISNEY WALT CO,420.00,114.370000,48035.40,1.86%,2579060.00,100000,4,
