Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Structured Outcome September ETF,SEPZ,53656F714,10916922.31,450000.000,24.26,-0.20,-0.83,24.27,-0.16,-0.66,0.03,09/17/2020,0.37
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,12823499.70,350000.000,36.64,-0.31,-0.84,36.64,-0.34,-0.93,0.00,09/17/2020,0.30
TrueShares Structured Outcome July ETF,JULZ,53656F664,5973971.74,225000.000,26.55,-0.22,-0.81,26.57,-0.20,-0.76,0.08,09/17/2020,0.41
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,5260201.53,175000.000,30.06,-0.38,-1.25,30.04,-0.42,-1.37,-0.05,09/17/2020,0.10
TrueShares Structured Outcome August ETF,AUGZ,53656F722,8222827.14,325000.000,25.30,-0.25,-0.98,25.38,-0.20,-0.77,0.32,09/17/2020,0.39
