Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
06/23/2020,ECOZ,AAPL,037833100,APPLE INC,280.00,358.870000,100483.60,2.95%,3411187.50,125000,5,
06/23/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,365.00,97.270000,35503.55,1.04%,3411187.50,125000,5,
06/23/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,450.00,101.730000,45778.50,1.34%,3411187.50,125000,5,
06/23/2020,ECOZ,ABT,002824100,ABBOTT LABS,796.00,90.340000,71910.64,2.11%,3411187.50,125000,5,
06/23/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,125.00,202.600000,25325.00,0.74%,3411187.50,125000,5,
06/23/2020,ECOZ,ADBE,00724F101,ADOBE INC,153.00,438.640000,67111.92,1.97%,3411187.50,125000,5,
06/23/2020,ECOZ,ALL,020002101,ALLSTATE CORP,355.00,97.160000,34491.80,1.01%,3411187.50,125000,5,
06/23/2020,ECOZ,AMGN,031162100,AMGEN INC,115.00,234.190000,26931.85,0.79%,3411187.50,125000,5,
06/23/2020,ECOZ,AMZN,023135106,AMAZON COM INC,40.00,2713.820000,108552.80,3.18%,3411187.50,125000,5,
06/23/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,398.00,99.440000,39577.12,1.16%,3411187.50,125000,5,
06/23/2020,ECOZ,BAX,071813109,BAXTER INTL INC,645.00,83.960000,54154.20,1.59%,3411187.50,125000,5,
06/23/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,28.00,1633.520000,45738.56,1.34%,3411187.50,125000,5,
06/23/2020,ECOZ,BLK,09247X101,BLACKROCK INC,85.00,553.210000,47022.85,1.38%,3411187.50,125000,5,
06/23/2020,ECOZ,BLL,058498106,BALL CORP,430.00,71.080000,30564.40,0.90%,3411187.50,125000,5,
06/23/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,543.00,57.560000,31255.08,0.92%,3411187.50,125000,5,
06/23/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,378.00,159.630000,60340.14,1.77%,3411187.50,125000,5,
06/23/2020,ECOZ,CBOE,12503M108,CBOE GLOBAL MARKETS INC,479.00,100.050000,47923.95,1.40%,3411187.50,125000,5,
06/23/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,550.00,46.190000,25404.50,0.74%,3411187.50,125000,5,
06/23/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,445.00,73.100000,32529.50,0.95%,3411187.50,125000,5,
06/23/2020,ECOZ,CLX,189054109,CLOROX CO DEL,252.00,216.900000,54658.80,1.60%,3411187.50,125000,5,
06/23/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,196.00,300.450000,58888.20,1.73%,3411187.50,125000,5,
06/23/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,180.00,191.650000,34497.00,1.01%,3411187.50,125000,5,
06/23/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,455.00,144.840000,65902.20,1.93%,3411187.50,125000,5,
06/23/2020,ECOZ,DIS,254687106,DISNEY WALT CO,525.00,115.920000,60858.00,1.78%,3411187.50,125000,5,
06/23/2020,ECOZ,EA,285512109,ELECTRONIC ARTS INC,455.00,129.720000,59022.60,1.73%,3411187.50,125000,5,
06/23/2020,ECOZ,EIX,281020107,EDISON INTL,555.00,55.790000,30963.45,0.91%,3411187.50,125000,5,
06/23/2020,ECOZ,ENPH,29355A107,ENPHASE ENERGY INC,1045.00,45.560000,47610.20,1.40%,3411187.50,125000,5,
06/23/2020,ECOZ,ES,30040W108,EVERSOURCE ENERGY,520.00,84.180000,43773.60,1.28%,3411187.50,125000,5,
06/23/2020,ECOZ,GILD,375558103,GILEAD SCIENCES INC,376.00,75.670000,28451.92,0.83%,3411187.50,125000,5,
06/23/2020,ECOZ,GOOGL,02079K305,ALPHABET INC,70.00,1450.660000,101546.20,2.98%,3411187.50,125000,5,
06/23/2020,ECOZ,GS,38141G104,GOLDMAN SACHS GROUP INC,135.00,203.420000,27461.70,0.81%,3411187.50,125000,5,
06/23/2020,ECOZ,GWW,384802104,GRAINGER W W INC,220.00,303.190000,66701.80,1.96%,3411187.50,125000,5,
06/23/2020,ECOZ,HD,437076102,HOME DEPOT INC,147.00,249.160000,36626.52,1.07%,3411187.50,125000,5,
06/23/2020,ECOZ,IFF,459506101,INTERNATIONAL FLAVORS&FRAGRANC COM,380.00,125.070000,47526.60,1.39%,3411187.50,125000,5,
06/23/2020,ECOZ,INTU,461202103,INTUIT,115.00,294.120000,33823.80,0.99%,3411187.50,125000,5,
06/23/2020,ECOZ,IRM,46284V101,IRON MTN INC NEW,656.00,25.750000,16892.00,0.50%,3411187.50,125000,5,
06/23/2020,ECOZ,ITW,452308109,ILLINOIS TOOL WKS INC,135.00,171.690000,23178.15,0.68%,3411187.50,125000,5,
06/23/2020,ECOZ,JNJ,478160104,JOHNSON & JOHNSON,165.00,143.390000,23659.35,0.69%,3411187.50,125000,5,
06/23/2020,ECOZ,JPM,46625H100,JPMORGAN CHASE & CO.,570.00,96.750000,55147.50,1.62%,3411187.50,125000,5,
06/23/2020,ECOZ,LRCX,512807108,LAM RESEARCH CORP,160.00,312.300000,49968.00,1.46%,3411187.50,125000,5,
06/23/2020,ECOZ,MA,57636Q104,MASTERCARD INCORPORATED,225.00,304.440000,68499.00,2.01%,3411187.50,125000,5,
06/23/2020,ECOZ,MCO,615369105,MOODYS CORP,175.00,276.570000,48399.75,1.42%,3411187.50,125000,5,
06/23/2020,ECOZ,MRK,58933Y105,MERCK & CO. INC,400.00,76.750000,30700.00,0.90%,3411187.50,125000,5,
06/23/2020,ECOZ,MSCI,55354G100,MSCI INC,166.00,337.550000,56033.30,1.64%,3411187.50,125000,5,
06/23/2020,ECOZ,MSFT,594918104,MICROSOFT CORP,590.00,200.570000,118336.30,3.47%,3411187.50,125000,5,
06/23/2020,ECOZ,MSI,620076307,MOTOROLA SOLUTIONS INC,165.00,141.130000,23286.45,0.68%,3411187.50,125000,5,
06/23/2020,ECOZ,NFLX,64110L106,NETFLIX INC,125.00,468.040000,58505.00,1.72%,3411187.50,125000,5,
06/23/2020,ECOZ,NKE,654106103,NIKE INC,350.00,99.510000,34828.50,1.02%,3411187.50,125000,5,
06/23/2020,ECOZ,NVDA,67066G104,NVIDIA CORPORATION,150.00,381.070000,57160.50,1.68%,3411187.50,125000,5,
06/23/2020,ECOZ,PEP,713448108,PEPSICO INC,400.00,131.050000,52420.00,1.54%,3411187.50,125000,5,
06/23/2020,ECOZ,PLD,74340W103,PROLOGIS INC.,510.00,92.560000,47205.60,1.38%,3411187.50,125000,5,
06/23/2020,ECOZ,PYPL,70450Y103,PAYPAL HLDGS INC,215.00,170.260000,36605.90,1.07%,3411187.50,125000,5,
06/23/2020,ECOZ,QCOM,747525103,QUALCOMM INC,410.00,89.130000,36543.30,1.07%,3411187.50,125000,5,
06/23/2020,ECOZ,REGN,75886F107,REGENERON PHARMACEUTICALS,97.00,628.480000,60962.56,1.79%,3411187.50,125000,5,
06/23/2020,ECOZ,ROK,773903109,ROCKWELL AUTOMATION INC,212.00,210.560000,44638.72,1.31%,3411187.50,125000,5,
06/23/2020,ECOZ,SBUX,855244109,STARBUCKS CORP,595.00,75.400000,44863.00,1.32%,3411187.50,125000,5,
06/23/2020,ECOZ,SJM,832696405,SMUCKER J M CO,191.00,108.950000,20809.45,0.61%,3411187.50,125000,5,
06/23/2020,ECOZ,SPGI,78409V104,S&P Global Inc,145.00,326.360000,47322.20,1.39%,3411187.50,125000,5,
06/23/2020,ECOZ,SQ,852234103,SQUARE INC,773.00,104.220000,80562.06,2.36%,3411187.50,125000,5,
06/23/2020,ECOZ,SYY,871829107,SYSCO CORP,624.00,55.000000,34320.00,1.01%,3411187.50,125000,5,
06/23/2020,ECOZ,TGT,87612E106,TARGET CORP,240.00,122.430000,29383.20,0.86%,3411187.50,125000,5,
06/23/2020,ECOZ,TSCO,892356106,TRACTOR SUPPLY CO,310.00,130.100000,40331.00,1.18%,3411187.50,125000,5,
06/23/2020,ECOZ,TSLA,88160R101,TESLA INC,45.00,994.320000,44744.40,1.31%,3411187.50,125000,5,
06/23/2020,ECOZ,UBER,90353T100,UBER TECHNOLOGIES INC,777.00,32.680000,25392.36,0.74%,3411187.50,125000,5,
06/23/2020,ECOZ,UNH,91324P102,UNITEDHEALTH GROUP INC,180.00,292.670000,52680.60,1.54%,3411187.50,125000,5,
06/23/2020,ECOZ,UNP,907818108,UNION PAC CORP,340.00,168.200000,57188.00,1.68%,3411187.50,125000,5,
06/23/2020,ECOZ,UPS,911312106,UNITED PARCEL SERVICE INC,430.00,106.900000,45967.00,1.35%,3411187.50,125000,5,
06/23/2020,ECOZ,V,92826C839,VISA INC,155.00,194.960000,30218.80,0.89%,3411187.50,125000,5,
06/23/2020,ECOZ,VAR,92220P105,VARIAN MED SYS INC,296.00,118.700000,35135.20,1.03%,3411187.50,125000,5,
06/23/2020,ECOZ,VMW,928563402,VMWARE INC,345.00,148.000000,51060.00,1.50%,3411187.50,125000,5,
06/23/2020,ECOZ,VRSN,92343E102,VERISIGN INC,160.00,205.750000,32920.00,0.97%,3411187.50,125000,5,
06/23/2020,ECOZ,VZ,92343V104,VERIZON COMMUNICATIONS INC,992.00,55.660000,55214.72,1.62%,3411187.50,125000,5,
06/23/2020,ECOZ,Cash&Other,Cash&Other,Cash & Other,11139.04,1.000000,11139.04,0.33%,3411187.50,125000,5,Y
06/23/2020,LRNZ,AMD,007903107,ADVANCED MICRO DEVICES INC,4584.00,54.760000,251019.84,3.72%,6751900.00,200000,8,
06/23/2020,LRNZ,AMZN,023135106,AMAZON COM INC,91.00,2713.820000,246957.62,3.66%,6751900.00,200000,8,
06/23/2020,LRNZ,CRM,79466L302,SALESFORCE COM INC,1200.00,191.650000,229980.00,3.41%,6751900.00,200000,8,
06/23/2020,LRNZ,CRWD,22788C105,CROWDSTRIKE HLDGS INC,3621.00,105.020000,380277.42,5.63%,6751900.00,200000,8,
06/23/2020,LRNZ,DDOG,23804L103,DATADOG INC,4515.00,89.010000,401880.15,5.95%,6751900.00,200000,8,
06/23/2020,LRNZ,ESTC,N14506104,ELASTIC N V,2948.00,93.470000,275549.56,4.08%,6751900.00,200000,8,
06/23/2020,LRNZ,GH,40131M109,GUARDANT HEALTH INC,2666.00,83.100000,221544.60,3.28%,6751900.00,200000,8,
06/23/2020,LRNZ,GOOG,02079K107,ALPHABET INC,160.00,1451.860000,232297.60,3.44%,6751900.00,200000,8,
06/23/2020,LRNZ,INTC,458140100,INTEL CORP,3437.00,60.090000,206529.33,3.06%,6751900.00,200000,8,
06/23/2020,LRNZ,MSFT,594918104,MICROSOFT CORP,1153.00,200.570000,231257.21,3.43%,6751900.00,200000,8,
06/23/2020,LRNZ,NOW,81762P102,SERVICENOW INC,642.00,402.820000,258610.44,3.83%,6751900.00,200000,8,
06/23/2020,LRNZ,NVDA,67066G104,NVIDIA CORPORATION,702.00,381.070000,267511.14,3.96%,6751900.00,200000,8,
06/23/2020,LRNZ,OKTA,679295105,OKTA INC,1650.00,199.190000,328663.50,4.87%,6751900.00,200000,8,
