Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,6681976.14,200000.000,33.41,0.67,2.06,33.47,0.57,1.72,0.18,06/18/2020,0.35
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,3393473.96,125000.000,27.15,0.08,0.30,27.23,0.10,0.35,0.29,06/18/2020,0.37
