Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,9620048.48,275000.000,34.98,0.47,1.36,34.96,0.52,1.50,-0.07,07/06/2020,0.36
TrueShares Structured Outcome July ETF,JULZ,53656F664,3175765.95,125000.000,25.41,0.32,1.28,25.44,0.31,1.25,0.12,07/06/2020,0.35
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,4934287.74,175000.000,28.20,0.50,1.80,28.19,0.51,1.84,-0.03,07/06/2020,0.37
