Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueShares Structured Outcome September ETF,SEPZ,53656F714,12071705.52,475000.000,25.41,-0.17,-0.68,25.38,-0.12,-0.49,-0.15,11/20/2020,0.51
TrueShares Structured Outcome October ETF,OCTZ,53656F698,3904235.65,150000.000,26.03,-0.15,-0.58,26.04,-0.13,-0.49,0.04,11/20/2020,0.54
TrueShares Structured Outcome November ETF,NVMZ,53656F680,2647684.22,100000.000,26.48,-0.16,-0.61,26.49,-0.13,-0.50,0.04,11/20/2020,0.38
TrueShares Technology AI & Deep Learning ETF,LRNZ,53656F821,18930453.51,450000.000,42.07,0.26,0.62,42.15,0.35,0.83,0.20,11/20/2020,0.31
TrueShares Structured Outcome July ETF,JULZ,53656F664,6272420.82,225000.000,27.88,-0.17,-0.61,27.91,-0.13,-0.48,0.12,11/20/2020,0.54
TrueShares ESG Active Opportunities ETF,ECOZ,53656F813,6542050.94,200000.000,32.71,-0.13,-0.39,32.74,-0.09,-0.29,0.11,11/20/2020,0.12
TrueShares Structured Outcome August ETF,AUGZ,53656F722,8655479.14,325000.000,26.63,-0.16,-0.60,26.65,-0.13,-0.47,0.08,11/20/2020,0.48
