Fund Name,Fund Ticker,CUSIP,Net Assets,Shares Outstanding,NAV,NAV Change Dollars,NAV Change Percentage,Market Price,Market Price Change Dollars,Market Price Change Percentage,Premium/Discount,Rate Date,Median 30 Day Spread Percentage
TrueMark AI & Deep Learning ETF,LRNZ,53656F821,57069704.86,2075000,27.5,0.06,0.22,27.53,0.08,0.29,0.1,2/13/2020,0.07
TrueMark ESG Active Opportunities ETF,ECOZ,53656F813,204496651.3,7150000,28.6,0.03,0.12,28.63,0.02,0.07,0.1,2/13/2020,0.18
